DOI,repo-name,repourl,views,unique-views,downloads,unique-downloads
10.5334/johd.1,Zenodo,https://zenodo.org/record/31026#.YNCwuUwo9EY,2788,2601,985,781
10.5334/johd.2,Figshare,http://dx.doi.org/10.6084/m9.figshare.1305596,5758,NA,866,NA
10.5334/johd.4,Other,http://hdl.handle.net/1969.1/156315,NA,NA,NA,NA
10.5334/johd.6,Figshare,https://dx.doi.org/10.6084/m9.figshare.3493103,740,NA,4909,NA
10.5334/johd.7,Other,https://earlyracefilm.github.io/database/,NA,NA,NA,NA
10.5334/johd.8,Zenodo,https://doi.org/10.5281/zenodo.200399,270,230,15,14
10.5334/johd.9,Zenodo,http://doi.org/10.5281/zenodo.579679,157,130,22,17
10.5334/johd.10,Figshare,https://doi.org/10.6084/m9.figshare.5398537,1018,NA,190,NA
10.5334/johd.11,Figshare,https://doi.org/10.6084/m9.figshare.7353164.v6,683,NA,238,NA
10.5334/johd.12,Zenodo,https://doi.org/10.5281/zenodo.3741500,417,321,47,45
10.5334/johd.13,Zenodo,https://doi.org/10.5281/zenodo.3596076,227,178,21,21
10.5334/johd.14,Zenodo,https://zenodo.org/record/3667486,1138,826,74,61
10.5334/johd.15,Other,https://repository.upenn.edu/judaica_americana/2/,NA,NA,NA,NA
10.5334/johd.16,Dataverse,https://doi.org/10.7910/DVN/4JQRCL/GZLWGZ,NA,NA,8751,NA
10.5334/johd.17,Figshare,https://doi.org/10.6084/m9.figshare.12333290.v1,996,NA,203,NA
10.5334/johd.19,Other,https://digital.library.illinois.edu/collections/38ec6eb0-18c3-0135-242c-0050569601ca-1,NA,NA,NA,NA
10.5334/johd.20,OSF,https://doi.org/10.17605/OSF.IO/6V9ZF,NA,NA,NA,NA
10.5334/johd.21,Dataverse,https://doi.org/10.18738/T8/VSWAJY,631,NA,15,NA
10.5334/johd.22,Zenodo,https://zenodo.org/record/4301658,2683,2599,2423,2405
10.5334/johd.23,Other,https://doi.org/10.23636/1136,NA,NA,NA,NA
10.5334/johd.24,Zenodo,https://doi.org/10.5281/zenodo.4557828,501,439,234,217
10.5334/johd.25,DataShare,https://datashare.ed.ac.uk/handle/10283/3866,227,NA,NA,NA
10.5334/johd.26,Figshare-Inst,https://kilthub.cmu.edu/articles/dataset/DH_Conference_Index_Data_-_9_22_2020/12987959/1,2789,NA,1097,NA
10.5334/johd.27,Dataverse,https://doi.org/10.7910/DVN/IU1XFO,NA,NA,20,NA
10.5334/johd.28,Zenodo,https://doi.org/10.5281/zenodo.3824950,1817,1627,198,175
10.5334/johd.30,Zenodo,https://doi.org/10.5281/zenodo.4315208,653,541,82,65
10.5334/johd.31,OSF,https://osf.io/ck3gd/,NA,NA,NA,NA
10.5334/johd.32,OSF,https://osf.io/ck3gd/,NA,NA,NA,NA
10.5334/johd.33,Kaggle,https://doi.org/10.34740/kaggle/dsv/2250730,NA,NA,NA,NA
10.5334/johd.34,Zenodo,https://doi.org/10.5281/zenodo.4562336,305,201,33,31
10.5334/johd.35,Zenodo,https://doi.org/10.5281/zenodo.4569733,51,38,10,8
