DOI,DOI_research_paper
10.1163/24523666-01000004,
10.1163/24523666-01000003,
10.1163/24523666-01000002,
10.1163/24523666-01000001,
10.1163/24523666-01000005,
10.1163/24523666-01000007,
10.1163/24523666-01000006,10.1093/esr/jcaa031
10.1163/24523666-01000008,
10.1163/24523666-01000013,10.1007/978-3-030-46493-6
10.1163/24523666-01000009,
10.1163/24523666-01000011,
10.1163/24523666-01000010,10.1080/01615440.2015.1026009
10.1163/24523666-01000012,
10.1163/24523666-00401004,
10.1163/24523666-00401003,
10.1163/24523666-00401002,
10.1163/24523666-00401001,
10.1163/24523666-00401005,
10.1163/24523666-00401006,
10.1163/24523666-00401007,
10.1163/24523666-00401008,
10.1163/24523666-bja10007,
10.1163/24523666-00501002,
10.1163/24523666-bja10003,
10.1163/24523666-bja10011,
10.1163/24523666-00502010,
10.1163/24523666-00502009,
10.1163/24523666-00502008,10.18146/2213-7653.2018.369
10.1163/24523666-00502008,10.1080/17411548.2021.1930974
10.1163/24523666-00502007,
10.1163/24523666-00502006,
10.1163/24523666-00502005,
10.1163/24523666-bja10013,10.1080/19475020.2017.1315315
10.1163/24523666-00502003,
10.1163/24523666-bja10002,
10.1163/24523666-bja10008,
10.1163/24523666-06010001,
10.1163/24523666-06010002,
10.1163/24523666-06010003,
10.1163/24523666-bja10018,
10.1163/24523666-bja10019,10.1017/ssh.2020.13
10.1163/24523666-bja10017,10.3828/msmi.2020.4
10.1163/24523666-06010004,
10.1163/24523666-bja10009,10.1007/978-3-030-27508-2_2
10.1163/24523666-07010001,
