Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Source title,Anthology title,Publisher,MeSH terms,PubYear,Publication Date (online),Publication Date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Research Organizations - standardized,GRID IDs,City of Research organization,State of Research organization,Country of Research organization,Funder,Funder Group,Funder Country,UIDs of supporting grants,Supporting Grants,Times cited,Recent citations,RCR,FCR,Altmetric,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,RCDC Categories,HRCS HC Categories,HRCS RAC Categories,Health Research Areas,Broad Research Areas,ICRP Cancer Types,ICRP CSO Categories,Units of Assessment,Sustainable Development Goals
100,pub.1146553221,10.5334/johd.59,,,"Accessibility, Discoverability, and Functionality: An Audit of and Recommendations for Digital Language Archives","While digital archiving has long been standard for linguistics, archives themselves are heterogeneous (Aznar & Seifart 2020), and archived linguistic material is important for researchers and communities, particularly for language reclamation (cf. Baldwin & Olds 2007; Whalen et al. 2016; Hinton 2003, 2018; Kung et al. 2020). The format and usability of scholarly archival collections is shaped by the functions of the management practices at the stewarding institution, making an appreciation of the range of access services provided by such institutions relevant to the evaluation of individual collections.Here we report on a review of 41 digital language archives. Three factors are examined: 1) accessibility, including metadata and site navigation; 2) discoverability, or searchability and internal navigation; and 3) functionality, the overall ease of data retrieval and use. We recognize that the decisions made by both stewards and depositors can greatly impact the accessibility of archived materials; to that end, we present recommendations for how archives might increase the utility of their holdings for their users. We emphasize that our intention is not to dissuade linguists from using archives because of these issues, and we recognize the tremendous amount of work that goes into the upkeep of digital infrastructure, often with very limited institutional support. Implementing such recommendations at an institutional level can establish a fairer peer-review process of archival collections. By delineating precisely what standards fall under the archive management level and what procedures individual depositors are responsible for, the roles of “archivist” and “depositor” become clearer.",,Journal of Open Humanities Data,,Ubiquity Press,,2022,2022-03-24,2022-03-24,8,0,10,All OA; Gold,Article,"Yi, Irene; Lake, Amelia; Kim, Juhyae; Haakman, Kassandra; Jewell, Jeremiah; Babinski, Sarah; Bowern, Claire","Yi, Irene (Linguistics Department, Yale University, New Haven, CT); Lake, Amelia (Linguistics Department, Yale University, New Haven, CT); Kim, Juhyae (Linguistics Department, Cornell University, Ithaca, NY); Haakman, Kassandra (Linguistics Department, Yale University, New Haven, CT); Jewell, Jeremiah (Linguistics Department, Yale University, New Haven, CT); Babinski, Sarah (Linguistics Department, Yale University, New Haven, CT); Bowern, Claire (Linguistics Department, Yale University, New Haven, CT)",,"Yi, Irene (Yale University); Lake, Amelia (Yale University); Kim, Juhyae (Cornell University); Haakman, Kassandra (Yale University); Jewell, Jeremiah (Yale University); Babinski, Sarah (Yale University); Bowern, Claire (Yale University)",Yale University; Cornell University,grid.47100.32; grid.5386.8,New Haven; Ithaca,Connecticut; New York,United States; United States,,,,,,0,0,,,,http://openhumanitiesdata.metajnl.com/articles/10.5334/johd.59/galley/123/download/,https://app.dimensions.ai/details/publication/pub.1146553221,"2004 Linguistics; 20 Language, Communication and Culture; 2102 Curatorial and Related Studies; 21 History and Archaeology",,,,,,,,D27 English Language and Literature,
100,pub.1146398583,10.5334/johd.62,,,Mining an English-Chinese parallel Dataset of Financial News,"Parallel text datasets are a valuable for educational purposes, machine translation, and cross-language information retrieval, but few are domain-oriented. We have created a Chinese–English parallel dataset in the domain of finance technology, using the Financial Times website, from which we grabbed 60,473 news items from between 2007 and 2021. This dataset is a bilingual Chinese–English parallel dataset of news in the domain of finance. It is open access in its original state without transformation, and has been made not for machine translation as has been used, but for intelligent mining, in which we conducted many experiments using up-to-date text mining techniques: clustering (topic modeling, community detection, k-means), topic prediction (naive Bayes, SVM, LSTM, Bert), and pattern discovery (dictionary based, time series). We present the usage of these techniques as a framework for other studies, not only as an application but with an interpretation.",,Journal of Open Humanities Data,,Ubiquity Press,,2022,2022-03-18,,8,0,9,All OA; Gold,Article,"Turenne, Nicolas; Chen, Ziwei; Fan, Guitao; Li, Jianlong; Li, Yiwen; Wang, Siyuan; Zhou, Jiaqi","Turenne, Nicolas (BNU-HKBU United International College, UIC, Division of Science and Technology, Zhuhai Guangdong); Chen, Ziwei (BNU-HKBU United International College, UIC, Division of Science and Technology, Zhuhai Guangdong); Fan, Guitao (BNU-HKBU United International College, UIC, Division of Science and Technology, Zhuhai Guangdong); Li, Jianlong (BNU-HKBU United International College, UIC, Division of Science and Technology, Zhuhai Guangdong); Li, Yiwen (BNU-HKBU United International College, UIC, Division of Science and Technology, Zhuhai Guangdong); Wang, Siyuan (BNU-HKBU United International College, UIC, Division of Science and Technology, Zhuhai Guangdong); Zhou, Jiaqi (BNU-HKBU United International College, UIC, Division of Science and Technology, Zhuhai Guangdong)",,"Turenne, Nicolas (); Chen, Ziwei (); Fan, Guitao (); Li, Jianlong (); Li, Yiwen (); Wang, Siyuan (); Zhou, Jiaqi ()",,,,,,,,,,,0,0,,,12,http://openhumanitiesdata.metajnl.com/articles/10.5334/johd.62/galley/121/download/,https://app.dimensions.ai/details/publication/pub.1146398583,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0806 Information Systems,,,,,,,,B11 Computer Science and Informatics,
100,pub.1145640656,10.1163/24523666-07010001,,,Leiden University Resolutions Appendici Corpus (1575–1811),"Abstract  The Appendici to the Leiden University Resolutions of Curators and Mayors form a rich collection of documents from different genres, including letters, statutes and testimonies. Spanning the period between the founding of Leiden University in 1575 until its temporary dissolution in 1811, these documents are well-suited for historical linguistic research of Dutch in general, and for those interested in the relationships between norm and language in particular, as the period covers a key period in the codification of Dutch (ca. 1550–1804). In this data paper, the author introduces and describes the Leiden University Resolutions Appendici Corpus ( lurac ), a single-domain (i.e., context of interaction), multi-genre diachronic corpus of 103,451 words, consisting of samples of the Appendici to the Leiden University Resolutions for ten time periods of 25 years between 1575 and 1811. Both raw data and metadata are available.",,Research Data Journal for the Humanities and Social Sciences,,Brill Academic Publishers,,2022,,,,,1-10,All OA; Gold,Article,"van der Meulen, Marten S.","van der Meulen, Marten S. (Radboud Universiteit, Nijmegen, The Netherlands, marten.vandermeulen@ru.nl)",,"van der Meulen, Marten S. (Radboud University Nijmegen)",Radboud University Nijmegen,grid.5590.9,Nijmegen,Gelderland,Netherlands,,,,,,0,0,,,3,https://brill.com/downloadpdf/journals/rdj/aop/article-10.1163-24523666-07010001/article-10.1163-24523666-07010001.pdf,https://app.dimensions.ai/details/publication/pub.1145640656,"2004 Linguistics; 20 Language, Communication and Culture",,,,,,,,D26 Modern Languages and Linguistics,
100,pub.1146369518,10.5334/johd.74,,,A Social Network of the <i>Prosopography of the Neo-Assyrian Empire</i>,"The dataset is a social network of over 17,000 individuals who lived during the so-called Neo-Assyrian period of Mesopotamian history, primarily in the eighth and seventh centuries BCE. The undirected network of individuals connected by co-occurrences in cuneiform documents was semi-automatically extracted from the Prosopography of the Neo-Assyrian Empire. In addition to two weighted versions of the one-mode co-occurrence network, the dataset also contains a two-mode person-text network and rich metadata for each individual. For the first time, the dataset allows large-scale computational analysis of social structures in the Assyrian Empire. The data is primarily stored as plain text and CSV files, inviting scholars to further expand and enrich it. The scripts and files used for creating and standardizing the data are also available in the Zenodo repository.",,Journal of Open Humanities Data,,Ubiquity Press,,2022,,2022,8,0,,All OA; Gold,Article,"Jauhiainen, Heidi; Alstola, Tero","Jauhiainen, Heidi (Department of Digital Humanities, University of Helsinki, Helsinki); Alstola, Tero (Department of Digital Humanities, University of Helsinki, Helsinki)",,"Jauhiainen, Heidi (University of Helsinki); Alstola, Tero (University of Helsinki)",University of Helsinki,grid.7737.4,Helsinki,,Finland,,,,,,0,0,,,19,http://openhumanitiesdata.metajnl.com/articles/10.5334/johd.74/galley/119/download/,https://app.dimensions.ai/details/publication/pub.1146369518,08 Information and Computing Sciences; 0806 Information Systems,,,,,,,,B11 Computer Science and Informatics,
100,pub.1146232524,10.5334/johd.71,,,HATHI 1M: Introducing a Million Page Historical Prose Dataset in English from the Hathi Trust,"We present a new dataset built on prior work consisting of 1,671,370 randomly sampled pages of English-language prose roughly divided between modes of fictional and non-fictional writing and published between the years 1800 and 2000. In addition to focusing on the “page’’ as the basic bibliographic unit, our work employs a single predictive model for the historical period under consideration in contrast to prior work. Besides publication metadata, we also provide an enriched feature set of 107 features including part-of-speech tags, sentiment scores, word supersenses and more. Our data is designed to give researchers in the digital humanities large yet portable random samples of historical writing across two foundational modes of English prose writing. We present initial insights into transformations of linguistic patterns across this historical period using our enriched features as possible pointers to future work. The data can be accessed at https://doi.org/10.7910/DVN/HAKKUA.",,Journal of Open Humanities Data,,Ubiquity Press,,2022,,2022,8,0,,All OA; Gold,Article,"Bagga, Sunyam; Piper, Andrew","Bagga, Sunyam (LAB, McGill University, Montreal); Piper, Andrew (LAB, McGill University, Montreal)",,"Bagga, Sunyam (McGill University); Piper, Andrew (McGill University)",McGill University,grid.14709.3b,Montreal,Quebec,Canada,,,,,,0,0,,,59,http://openhumanitiesdata.metajnl.com/articles/10.5334/johd.71/galley/117/download/,https://app.dimensions.ai/details/publication/pub.1146232524,"2004 Linguistics; 2005 Literary Studies; 20 Language, Communication and Culture",,,,,,,,D27 English Language and Literature,
100,pub.1146207165,10.5334/johd.60,,,Teaching Linked Open Data using Bibliographic Metadata,"This paper describes LD4DH, the Linked Data for Digital Humanities: Publishing, Querying, and Linking on the Semantic Web workshop at the Digital Humanities Oxford Summer School. It includes a description of the general structure of the workshop, how it has changed over the course of the last seven years, between 2015 and 2021, and evaluates the differences between in-person delivery in 2018–2019 and the online mode in 2020–2021. Discussion is centred on the description of the data as well as the illustration of the processes, methods, and software used throughout the workshop. The paper concludes with a summary of participant evaluation, and reflects on the opportunities and challenges of teaching Linked Open Data to a mixed cohort of predominantly Humanities researchers and professionals from the cultural heritage sector.",,Journal of Open Humanities Data,,Ubiquity Press,,2022,,2022,8,0,,All OA; Gold,Article,"Nurmikko-Fuller, Terhi","Nurmikko-Fuller, Terhi (Centre for Digital Humanities Research, Australian National University, Canberra)",,"Nurmikko-Fuller, Terhi (Australian National University)",Australian National University,grid.1001.0,Canberra,Australian Capital Territory,Australia,,,,,,0,0,,,14,http://openhumanitiesdata.metajnl.com/articles/10.5334/johd.60/galley/115/download/,https://app.dimensions.ai/details/publication/pub.1146207165,08 Information and Computing Sciences; 0806 Information Systems,,,,,,,,"D34 Communication, Cultural and Media Studies, Library and Information Management",
100,pub.1145295129,10.5334/johd.67,,,<i>By the People</i> Crowdsourcing Datasets from the Library of Congress,"The By the People (BTP) datasets comprise text of selected collections of the Library of Congress (LOC) created by volunteers in the By the People crowdsourced transcription program, which invites public transcription of historical documents. All transcriptions are created and reviewed by volunteers in a consensus-based model in which two or more volunteers must agree on a transcription for it to be considered complete. Resulting transcriptions are added to the digital collections alongside the images to enable search and accessibility of the collections. Additionally, completed transcription “campaigns” are published as freely downloadable datasets of .CSV files containing all campaign transcriptions, as well as minimal metadata. The datasets can support a multitude of purposes including computational research in fields such as history, linguistics, economics, and political science.",,Journal of Open Humanities Data,,Ubiquity Press,,2022,,2022,8,0,,All OA; Gold,Article,"Van Hyning, Victoria; Algee, Lauren; Jones, Mason; Osborn, Carlyn; Owens, Trevor; Seroka, Lauren; Shelton, Abby","Van Hyning, Victoria (College of Information Studies, University of Maryland, College Park); Algee, Lauren (Digital Content Management Section, Library of Congress, Washington, DC); Jones, Mason (College of Information Studies, University of Maryland, College Park); Osborn, Carlyn (Digital Content Management Section, Library of Congress, Washington, DC); Owens, Trevor (Digital Content Management Section, Library of Congress, Washington, DC); Seroka, Lauren (Digital Content Management Section, Library of Congress, Washington, DC); Shelton, Abby (Digital Content Management Section, Library of Congress, Washington, DC)",,"Van Hyning, Victoria (University of Maryland, College Park); Algee, Lauren (Library of Congress); Jones, Mason (University of Maryland, College Park); Osborn, Carlyn (Library of Congress); Owens, Trevor (Library of Congress); Seroka, Lauren (Library of Congress); Shelton, Abby (Library of Congress)","Library of Congress; University of Maryland, College Park",grid.241525.5; grid.164295.d,Washington D.C.; College Park,District of Columbia; Maryland,United States; United States,,,,,,0,0,,,48,http://openhumanitiesdata.metajnl.com/articles/10.5334/johd.67/galley/113/download/,https://app.dimensions.ai/details/publication/pub.1145295129,2103 Historical Studies; 21 History and Archaeology,Genetics,,,,,,,"D34 Communication, Cultural and Media Studies, Library and Information Management",
100,pub.1145060463,10.5334/johd.68,,,China Biographical Database (CBDB): A Relational Database for Prosopographical Research of Pre-Modern China,"The China Biographical Database (CBDB) is the largest prosopographical database for the study of Chinese history. We use regular expressions and neural network models to systematically harvest data from primary and secondary sources and employ an entity-relationship model to organize our data. As a relational database with both online and offline versions, CBDB provides freely accessible, structured data for macroscopic, quantitative studies of premodern China. The data in CBDB is continuously disambiguated and readily formatted for statistical, social network, and spatial analyses, and also has value for tagging named entities in historical texts and contextualizing other data collections.",,Journal of Open Humanities Data,,Ubiquity Press,,2022,,2022,8,0,,All OA; Gold,Article,"Chen, Song; Wang, Hongsu","Chen, Song (Department of East Asian Studies, Bucknell University, Lewisburg); Wang, Hongsu (Institute for Quantitative Social Science, Harvard University, Cambridge)",,"Chen, Song (Bucknell University); Wang, Hongsu (Harvard University)",Harvard University; Bucknell University,grid.38142.3c; grid.253363.2,Cambridge; Lewisburg,Massachusetts; Pennsylvania,United States; United States,,,,,,0,0,,,12,http://openhumanitiesdata.metajnl.com/articles/10.5334/johd.68/galley/111/download/,https://app.dimensions.ai/details/publication/pub.1145060463,2103 Historical Studies; 21 History and Archaeology,,,,,,,,C21 Sociology,
100,pub.1144964467,10.5334/johd.56,,,A Dataset for Toponym Resolution in Nineteenth-Century English Newspapers,"We present a new dataset for the task of toponym resolution in digitized historical newspapers in English. It consists of 343 annotated articles from newspapers based in four different locations in England (Manchester, Ashton-under-Lyne, Poole and Dorchester), published between 1780 and 1870. The articles have been manually annotated with mentions of places, which are linked—whenever possible—to their corresponding entry on Wikipedia. The dataset consists of 3,364 annotated toponyms, of which 2,784 have been provided with a link to Wikipedia. The dataset is published in the British Library shared research repository, and is especially of interest to researchers working on improving semantic access to historical newspaper content.",,Journal of Open Humanities Data,,Ubiquity Press,,2022,,2022,8,0,,All OA; Gold,Article,"Ardanuy, Mariona Coll; Beavan, David; Beelen, Kaspar; Hosseini, Kasra; Lawrence, Jon; McDonough, Katherine; Nanni, Federico; van Strien, Daniel; Wilson, Daniel C. S.","Ardanuy, Mariona Coll (The Alan Turing Institute, London; Queen Mary University of London, London); Beavan, David (The Alan Turing Institute, London); Beelen, Kaspar (The Alan Turing Institute, London; Queen Mary University of London, London); Hosseini, Kasra (The Alan Turing Institute, London); Lawrence, Jon (The University of Exeter, Exeter); McDonough, Katherine (The Alan Turing Institute, London; Queen Mary University of London, London); Nanni, Federico (The Alan Turing Institute, London); van Strien, Daniel (The British Library, London); Wilson, Daniel C. S. (The Alan Turing Institute, London; Queen Mary University of London, London)",,"Ardanuy, Mariona Coll (Queen Mary University of London); Beavan, David (The Alan Turing Institute); Beelen, Kaspar (Queen Mary University of London); Hosseini, Kasra (The Alan Turing Institute); Lawrence, Jon (University of Exeter); McDonough, Katherine (Queen Mary University of London); Nanni, Federico (The Alan Turing Institute); van Strien, Daniel (British Library); Wilson, Daniel C. S. (Queen Mary University of London)",British Library; Queen Mary University of London; The Alan Turing Institute; University of Exeter,grid.36212.34; grid.4868.2; grid.499548.d; grid.8391.3,London; London; London; Exeter,Camden; ; ; ,United Kingdom; United Kingdom; United Kingdom; United Kingdom,,,,,,1,1,,,20,http://openhumanitiesdata.metajnl.com/articles/10.5334/johd.56/galley/109/download/,https://app.dimensions.ai/details/publication/pub.1144964467,2103 Historical Studies; 21 History and Archaeology,,,,,,,,D28 History,
100,pub.1144628418,10.5334/johd.58,,,From Static to Interactive Maps: Drawing Diachronic Maps of (Latin) Modality with <i>Pygmalion</i>,"In this paper, we present the diachronic maps of a selection of 75 Latin modal markers designed through the tool Pygmalion. Both the maps and Pygmalion were conceived in the framework of the WoPoss project, which aims at analysing the diachronic pathways of modality in Latin. While the description of the tool and its functionalities is beyond the scope of this paper, we focus here on the description of our diachronic modal maps.Using visualisations to represent semantic shifts is a well-known practice in some linguistic fields such as typology and lexicography, and they have already been applied to modality. Though the situation is rapidly evolving, typological semantic maps as well as lexicographic maps are still for the most part static and usually not-interactive visualisations. Our modal maps stand out not only for their interactivity, but also for the richness of the information conveyed: chronology, etymology, semantics, syntax, first attestation and diachronic relationships between the meanings.After presenting our conceptual framework for modality, we illustrate the process of conceptualisation and development of our diachronic maps of modality. More specifically, we explain how we gathered and organised the data in order to transpose it into a visual representation. We then showcase the map of possum as an example of our results. Subsequently, we discuss the results with respect to previous literature concerning both visualisation of modal evolution from a general point of view and the investigation of modality in Latin. Finally, we outline possible applications within and beyond the WoPoss project.",,Journal of Open Humanities Data,,Ubiquity Press,,2022,,2022,8,0,,All OA; Gold,Article,"Marongiu, Paola; Dell’Oro, Francesca","Marongiu, Paola (Institut des sciences du langage, University of Neuchâtel, Neuchâtel); Dell’Oro, Francesca (Institut des sciences du langage, University of Neuchâtel, Neuchâtel)",,"Marongiu, Paola (University of Neuchâtel); Dell’Oro, Francesca (University of Neuchâtel)",University of Neuchâtel,grid.10711.36,Neuchâtel,,Switzerland,,,,,,0,0,,,17,http://openhumanitiesdata.metajnl.com/articles/10.5334/johd.58/galley/107/download/,https://app.dimensions.ai/details/publication/pub.1144628418,08 Information and Computing Sciences; 0806 Information Systems,,,,,,,,B11 Computer Science and Informatics,
