Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Source title,Anthology title,Publisher,MeSH terms,PubYear,Publication Date (online),Publication Date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Research Organizations - standardized,GRID IDs,City of Research organization,State of Research organization,Country of Research organization,Funder,Funder Group,Funder Country,UIDs of supporting grants,Supporting Grants,Times cited,Recent citations,RCR,FCR,Altmetric,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,RCDC Categories,HRCS HC Categories,HRCS RAC Categories,Health Research Areas,Broad Research Areas,Cancer Types,CSO Categories,Units of Assessment,Sustainable Development Goals
3626,pub.1129627547,10.1371/journal.pone.0236166,32706798,PMC7380625,Relationships among commercial practices and author conflicts of interest in biomedical publishing,"Recently, concerns have been raised over the potential impacts of commercial relationships on editorial practices in biomedical publishing. Specifically, it has been suggested that certain commercial relationships may make editors more open to publishing articles with author conflicts of interest (aCOI). Using a data set of 128,781 articles published in 159 journals, we evaluated the relationships among commercial publishing practices and reported author conflicts of interest. The 159 journals were grouped according to commercial biases (reprint services, advertising revenue, and ownership by a large commercial publishing firm). 30.6% (39,440) of articles were published in journals showing no evidence of evaluated commercial publishing relationships. 33.9% (43,630) were published in journals accepting advertising and reprint fees; 31.7% (40,887) in journals owned by large publishing firms; 1.2% (1,589) in journals accepting reprint fees only; and 2.5% (3,235) in journals accepting only advertising fees. Journals with commercial relationships were more likely to publish articles with aCOI (9.2% (92/1000) vs. 6.4% (64/1000), p = 0.024). In the multivariate analysis, only a journal's acceptance of reprint fees served as a significant predictor (OR = 2.81 at 95% CI, 1.5 to 8.6). Shared control estimation was used to evaluate the relationships between commercial publishing practices and aCOI frequency in total and by type. BCa-corrected mean difference effect sizes ranged from -1.0 to 6.1, and confirm findings indicating that accepting reprint fees may constitute the most significant commercial bias. The findings indicate that concerns over the influence of industry advertising in medical journals may be overstated, and that accepting fees for reprints may constitute the largest risk of bias for editorial decision-making.","Funding is provided by National Endowment for the Humanities grant HAA-261070. The funder had no role in the analysis or interpretation of data, the writing of this report, or the decision to submit the article for publication.",PLOS ONE,,Public Library of Science (PLoS),Advertising; Biomedical Research; Conflict of Interest; Editorial Policies; Humans; Ownership; Publication Bias,2020,2020-07-24,,15,7,e0236166,All OA; Gold,Article,"Graham, S. Scott; Majdik, Zoltan P.; Clark, Dave; Kessler, Molly M.; Hooker, Tristin Brynn","Graham, S. Scott (Department of Rhetoric & Writing, University of Texas at Austin, Austin, Texas, United States of America); Majdik, Zoltan P. (Department of Communication, North Dakota State University, Fargo, North Dakota, United States of America); Clark, Dave (Department of English, University of Wisconsin-Milwaukee, Milwaukee, Wisconsin, United States of America); Kessler, Molly M. (Department of Writing Studies, University of Minnesota-Twin Cities, Minneapolis, Minnesota, United States of America); Hooker, Tristin Brynn (Department of Rhetoric & Writing, University of Texas at Austin, Austin, Texas, United States of America)","Graham, S. Scott (The University of Texas at Austin)","Graham, S. Scott (The University of Texas at Austin); Majdik, Zoltan P. (North Dakota State University); Clark, Dave (University of Wisconsin–Milwaukee); Kessler, Molly M. (University of Minnesota); Hooker, Tristin Brynn (The University of Texas at Austin)",North Dakota State University; The University of Texas at Austin; University of Wisconsin–Milwaukee; University of Minnesota,grid.261055.5; grid.89336.37; grid.267468.9; grid.17635.36,Fargo; Austin; Milwaukee; Minneapolis,North Dakota; Texas; Wisconsin; Minnesota,United States; United States; United States; United States,National Endowment for the Humanities,,United States,,,3,2,0.24,2.36,116,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0236166&type=printable,https://app.dimensions.ai/details/publication/pub.1129627547,08 Information and Computing Sciences; 0806 Information Systems,,,,,,,,C17 Business and Management Studies,
3488,pub.1142279868,10.1093/jamiaopen/ooab089,34729462,PMC8557741,A dashboard for exploring clinical trials sponsorship and potential virtual monopolies,"OBJECTIVE: To create a data visualization dashboard to advance research related to clinical trials sponsorship and monopolistic practices in the pharmaceuticals industry. MATERIALS AND METHODS: This R Shiny application aggregates data from ClinicialTrials.gov resulting from user's queries by terms. Returned data are visualized through an interactive dashboard. RESULTS: The Clinical Trials Sponsorship Network Dashboard (CTSND) uses force-directed network mapping algorithms to visualize clinical trials sponsorship data. Interpretation of network visualization is further supported with data on sponsor classes, sponsorship timelines, evaluated products, and target conditions. The source code for the CTSND is available at https://github.com/sscottgraham/ConflictMetrics. DISCUSSION: Monopolistic practices have been identified as a likely contributor to high drug prices in the United States. CTSND data and visualizations support the analysis of clinical trials sponsorship networks and may aid in identifying current and emerging monopolistic practices. CONCLUSIONS: CTSND data can support more robust deliberation about an understudied area of drug pricing.",,JAMIA Open,,Oxford University Press (OUP),,2021,2021-10-29,2021-10-08,4,4,ooab089,All OA; Gold,Article,"Graham, S Scott; Majdik, Zoltan P; Barbour, Joshua B; Rousseau, Justin F","Graham, S Scott (Department of Rhetoric & Writing, Center for Health Communication, University of Texas at Austin, Austin, Texas, USA); Majdik, Zoltan P (Department of Communication, North Dakota State University, Fargo, North Dakota, USA); Barbour, Joshua B (Department of Communication Studies, Moody College of Communication, University of Texas at Austin, Austin, Texas, USA); Rousseau, Justin F (Department of Population Health, Dell Medical School, The University of Texas at Austin, Austin, Texas, USA; Department of Neurology, Dell Medical School, The University of Texas at Austin, Austin, Texas, USA)","Graham, S Scott (The University of Texas at Austin)","Graham, S Scott (The University of Texas at Austin); Majdik, Zoltan P (North Dakota State University); Barbour, Joshua B (The University of Texas at Austin); Rousseau, Justin F (The University of Texas at Austin; The University of Texas at Austin)",The University of Texas at Austin; North Dakota State University,grid.89336.37; grid.261055.5,Austin; Fargo,Texas; North Dakota,United States; United States,National Endowment for the Humanities; National Science Foundation,,United States; United States,,,0,0,,,4,https://academic.oup.com/jamiaopen/article-pdf/4/4/ooab089/41010120/ooab089.pdf,https://app.dimensions.ai/details/publication/pub.1142279868,08 Information and Computing Sciences; 0806 Information Systems,,,,,,,,B11 Computer Science and Informatics,
748,pub.1146529814,10.12688/openreseurope.13843.3,,,Automated identification of borrowings in multilingual wordlists,"Although lexical borrowing is an important aspect of language evolution, there have been few attempts to automate the identification of borrowings in lexical datasets. Moreover, none of the solutions which have been proposed so far identify borrowings across multiple languages. This study proposes a new method for the task and tests it on a newly compiled large comparative dataset of 48 South-East Asian languages from Southern China. The method yields very promising results, while it is conceptually straightforward and easy to apply. This makes the approach a perfect candidate for computer-assisted exploratory studies on lexical borrowing in contact areas.",,Open Research Europe,,Faculty of 1000,,2022,2022-03-23,,1,,79,All OA; Gold,Article,"List, Johann-Mattis; Forkel, Robert","List, Johann-Mattis (); Forkel, Robert ()",,"List, Johann-Mattis (); Forkel, Robert ()",,,,,,European Research Council,EC & ERC - European Union,Belgium,grant.6493466,715618,0,0,,,,https://doi.org/10.12688/openreseurope.13843.3,https://app.dimensions.ai/details/publication/pub.1146529814,"2004 Linguistics; 20 Language, Communication and Culture",,,,,,,,D26 Modern Languages and Linguistics,
748,pub.1122945902,10.1145/3371140.3371143,,,"Resolving places, past and present: toponym resolution in historical british newspapers using multiple resources","Newspapers and their metadata are richly geographical, not only in their distribution but also their content. Attending to these spatial features is a prerequisite in newspaper research. Following other projects to have geoparsed place names in newspapers, we describe our approach to linking historical geospatial information in text to real-world locations which 1) adopts an expansive definition of what counts as a locatable entity; 2) uses knowledge bases derived from contemporaneous sources; and 3) leverages contextual information to disambiguate hard-to-locate places. This method depends on combining historical and non-historical resources and the paper discusses the potential benefits for humanities research.",,,Proceedings of the 13th Workshop on Geographic Information Retrieval,Association for Computing Machinery (ACM),,2019,2019-11-28,2019-11-28,,,3,Closed,Proceeding,"Ardanuy, Mariona Coll; McDonough, Katherine; Krause, Amrey; Wilson, Daniel C S; Hosseini, Kasra; van Strien, Daniel","Ardanuy, Mariona Coll (The Alan Turing Institute); McDonough, Katherine (The Alan Turing Institute); Krause, Amrey (The University of Edinburgh); Wilson, Daniel C S (The Alan Turing Institute); Hosseini, Kasra (The Alan Turing Institute); van Strien, Daniel (The British Library)",,"Ardanuy, Mariona Coll (The Alan Turing Institute); McDonough, Katherine (The Alan Turing Institute); Krause, Amrey (University of Edinburgh); Wilson, Daniel C S (The Alan Turing Institute); Hosseini, Kasra (The Alan Turing Institute); van Strien, Daniel ()",The Alan Turing Institute; University of Edinburgh,grid.499548.d; grid.4305.2,London; Edinburgh,; ,United Kingdom; United Kingdom,,,,,,1,1,,0.28,,,https://app.dimensions.ai/details/publication/pub.1122945902,09 Engineering; 0909 Geomatic Engineering,,,,,,,,"D34 Communication, Cultural and Media Studies, Library and Information Management",
748,pub.1110332979,10.1080/23273798.2018.1552007,,,Mental simulation during literary reading: Individual differences revealed with eye-tracking,"People engage in simulation when reading literary narratives. In this study, we tried to pinpoint how different kinds of simulation (perceptual and motor simulation, mentalising) affect reading behaviour. Eye-tracking (gaze durations, regression probability) and questionnaire data were collected from 102 participants, who read three literary short stories. In a pre-test, 90 additional participants indicated which parts of the stories were high in one of the three kinds of simulation-eliciting content. The results show that motor simulation reduces gaze duration (faster reading), whereas perceptual simulation and mentalising increase gaze duration (slower reading). Individual differences in the effect of simulation on gaze duration were found, which were related to individual differences in aspects of story world absorption and story appreciation. These findings suggest fundamental differences between different kinds of simulation and confirm the role of simulation in absorption and appreciation.","The authors thank two anonymous reviewers for their helpful comments on earlier versions of this manuscript, and Alessandro Lopopolo for the calculation of the surprisal values used in our analyses. No potential conflict of interest was reported by the authors.",Language Cognition and Neuroscience,,Taylor & Francis,,2018,2018-12-01,2019-04-21,34,4,1-25,All OA; Hybrid,Article,"Mak, Marloes; Willems, Roel M.","Mak, Marloes (Centre for Language Studies, Radboud University Nijmegen, Nijmegen, The Netherlands, CorrespondenceH.Mak@let.ru.nl, http://orcid.org/0000-0001-8183-4039, View further author information); Willems, Roel M. (Centre for Language Studies, Radboud University Nijmegen, Nijmegen, The Netherlands; Donders Institute for Brain, Cognition and Behaviour, Radboud University Nijmegen, Nijmegen, The Netherlands; Max Planck Institute for Psycholinguistics, Nijmegen, The Netherlands, View further author information)",,"Mak, Marloes (Radboud University Nijmegen); Willems, Roel M. (Radboud University Nijmegen)",Radboud University Nijmegen,grid.5590.9,Nijmegen,Gelderland,Netherlands,Dutch Research Council,cOAlition S,Netherlands,grant.4136765,276-89-007,22,11,,7.57,11,https://www.tandfonline.com/doi/pdf/10.1080/23273798.2018.1552007?needAccess=true,https://app.dimensions.ai/details/publication/pub.1110332979,17 Psychology and Cognitive Sciences; 1701 Psychology,Clinical Research; Eye Disease and Disorders of Vision,,,,,,,D27 English Language and Literature,
748,pub.1052902573,10.1353/shq.2015.0000,,,"""Spare your arithmetic, never count the turns"": A Statistical Analysis of Writing about Shakespeare, 1960–2010","By taking a quantitative approach to Shakespeare studies, this paper reveals patterns in how and what we write about Shakespeare. Using statistics from the World Shakespeare Bibliography (WSB), we track publications about individual plays from 1960 to 2010. In addition to reporting descriptive statistics that offer a bird’s-eye view of Shakespeare studies over the last half century, we identify trends in relation to particular plays, such as The Tempest’s growing popularity and Julius Caesar’s relative decline. We demonstrate temporal trends in relation to genre and non-English Shakespeareana. This paper concludes by suggesting the value of further quantitative analyses of Shakespeare studies.",,Shakespeare Quarterly,,Oxford University Press (OUP),,2015,,2015,66,1,1-28,Closed,Article,"Estill, Laura; Klyve, Dominic; Bridal, Kate","Estill, Laura (LAURA ESTILL is Assistant Professor of English at Texas A&M University. She is the author of Dramatic Extracts in Seventeenth-Century English Manuscripts (University of Delaware Press, 2015) and editor of the World Shakespeare Bibliography (www.worldshakesbib.org).); Klyve, Dominic (DOMINIC KLYVE is Associate Professor of Mathematics at Central Washington University and Associate Director of the William O. Douglas Honors College. He has applied statistical techniques to the study of sonata-allegro form, gastroenterology, and (now) Shakespeare scholarship. His current book project is an annotated translation (with Andie Ho) of Leonhard Euler’s Lettres à une Princesse D’Allemagne.); Bridal, Kate (KATE BRIDAL holds degrees in Primate Behavior and Ecology, and Psychology. She is a future law student who had most of Juliet’s lines memorized when she was twelve years old.)",,"Estill, Laura (); Klyve, Dominic (); Bridal, Kate ()",,,,,,,,,,,2,0,,5.41,16,,https://app.dimensions.ai/details/publication/pub.1052902573,"2005 Literary Studies; 20 Language, Communication and Culture",,,,,,,,D27 English Language and Literature,
747,pub.1105548484,10.3389/frma.2018.00021,,,Deep Reference Mining From Scholarly Literature in the Arts and Humanities,"We consider the task of reference mining: the detection, extraction and classification of references within the full text of scholarly publications. Reference mining brings forward specific challenges, such as the need to capture the morphology of highly abbreviated words and the dependence among the elements of a reference, both following codified reference styles. This task is particularly difficult, and little explored, with respect to the literature in the arts and humanities, where references are mostly given in footnotes. We apply a deep learning architecture for reference mining from the full text of scholarly publications. We explore and discuss three architectural components: word and character-level word embeddings, different prediction layers (Softmax and Conditional Random Fields) and multi-task over single-task learning. Our best model uses both pre-trained word embeddings and characters embeddings, and a BiLSTM-CRF architecture. We test our solution on a dataset of annotated references from the historiography on Venice and, using a linear-chain CRF classifier as a baseline, we show that this deep learning architecture improves by a considerable margin. Furthermore, multi-task learning performs almost on par with a single-task approach. We thus confirm that there are important gains to be had by adopting deep learning for the task of reference mining.",,Frontiers in Research Metrics and Analytics,,Frontiers,,2018,2018-07-13,,3,,21,All OA; Gold,Article,"Alves, Danny Rodrigues; Colavizza, Giovanni; Kaplan, Frédéric","Alves, Danny Rodrigues (Digital Humanities Laboratory, École Polytechnique Fédérale de Lausanne, Lausanne, Switzerland); Colavizza, Giovanni (Digital Humanities Laboratory, École Polytechnique Fédérale de Lausanne, Lausanne, Switzerland; The Alan Turing Institute, London, United Kingdom); Kaplan, Frédéric (Digital Humanities Laboratory, École Polytechnique Fédérale de Lausanne, Lausanne, Switzerland)","Colavizza, Giovanni (École Polytechnique Fédérale de Lausanne; The Alan Turing Institute)","Alves, Danny Rodrigues (École Polytechnique Fédérale de Lausanne); Colavizza, Giovanni (École Polytechnique Fédérale de Lausanne; The Alan Turing Institute); Kaplan, Frédéric (École Polytechnique Fédérale de Lausanne)",École Polytechnique Fédérale de Lausanne; The Alan Turing Institute,grid.5333.6; grid.499548.d,Lausanne; London,; ,Switzerland; United Kingdom,Swiss National Science Foundation,,Switzerland,grant.5240372,159961,2,2,,0.81,27,https://www.frontiersin.org/articles/10.3389/frma.2018.00021/pdf,https://app.dimensions.ai/details/publication/pub.1105548484,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,,,,,,,,B11 Computer Science and Informatics,
746,pub.1112000525,10.4324/9780203728628-7,,,#FemGA #SayHerName #NotHereForBoys,,,,"Nevertheless, They Persisted",Taylor & Francis,,2018,2018-11-02,,,,115-132,Closed,Chapter,"Hurwitz, Heather McKee","Hurwitz, Heather McKee ()",,"Hurwitz, Heather McKee ()",,,,,,,,,,,2,1,,,,,https://app.dimensions.ai/details/publication/pub.1112000525,,,,,,,,,,
746,pub.1068257757,10.16995/olh.82,,,“You have to keep track of your changes”: The Version Variants and Publishing History of David Mitchell's <i>Cloud Atlas</i>,"In 2003, David Mitchell’s editorial contact at the US branch of Random House moved from the publisher, leaving the American edition of Cloud Atlas (2004) without an editor for approximately three months. Meanwhile, the UK edition of the manuscript was undergoing a series of editorial changes and rewrites that were never synchronised back into the US edition of the text. When the process was resumed at Random House under the editorial guidance of David Ebershoff, changes from New York were likewise not imported back into the UK edition. In the section entitled ‘An Orison of Sonmi ~451’ these desynchronised rewritings are nearly total at the level of linguistic expression between UK and US paperbacks/electronic editions and there are a range of sub-episodes that only feature in one or other of the published editions. Within the constraints of copyright on contemporary fiction, this article sets out this textual variance and visually plots the re-ordering and re-writing of the Sonmi section of the novel across versions. Further to this, I also signal here a number of reasons why critics might need to consider the production processes of contemporary fiction in order to deal with the multiple and different editions of this text and other contemporary novels.",,Open Library of Humanities,,Open Library of the Humanities,,2016,2016-08-10,,2,2,1,All OA; Gold,Article,"Eve, Martin","Eve, Martin (Birkbeck, University of London, United Kingdom)",,"Eve, Martin (Birkbeck, University of London)","Birkbeck, University of London",grid.88379.3d,London,,United Kingdom,,,,,,6,1,,16.99,35,https://doi.org/10.16995/olh.82,https://app.dimensions.ai/details/publication/pub.1068257757,"2005 Literary Studies; 20 Language, Communication and Culture",,,,,,,,D27 English Language and Literature,
745,pub.1103967245,10.1353/mns.2018.0012,,,Mapping Manuscript Migrations: Digging into Data for the History and Provenance of Medieval and Renaissance Manuscripts,,,Manuscript Studies A Journal of the Schoenberg Institute for Manuscript Studies,,Johns Hopkins University Press,,2018,,2018,3,1,249-252,All OA; Green,Article,"Burrows, Toby; Hyvönen, Eero; Ransom, Lynn; Wijsman, Hanno","Burrows, Toby (); Hyvönen, Eero (); Ransom, Lynn (); Wijsman, Hanno ()",,"Burrows, Toby (); Hyvönen, Eero (); Ransom, Lynn (); Wijsman, Hanno ()",,,,,,,,,,,4,2,,,,https://research.aalto.fi/files/64503054/SCI_Tamper_Using_Biographical_Texts_as_Linked_Data.2018.pdf,https://app.dimensions.ai/details/publication/pub.1103967245,,,,,,,,,,
