doi of data paper,DOI,Times cited,Recent citations,Altmetric,FOR (ANZSRC) Categories
10.5334/johd.1,10.1080/03071022.2014.975943,8.0,3.0,48.0,2103 Historical Studies; 21 History and Archaeology
10.5334/johd.1,10.1080/01615440.2015.1007194,4.0,0.0,7.0,2103 Historical Studies; 21 History and Archaeology
10.5334/johd.2,,,,,
10.5334/johd.4,10.1353/shq.2015.0000,2.0,0.0,16.0,"2005 Literary Studies; 20 Language, Communication and Culture"
10.5334/johd.4,10.22230/src.2014v5n4a187,4.0,1.0,,"2005 Literary Studies; 20 Language, Communication and Culture"
10.5334/johd.6,10.16995/olh.82,6.0,2.0,35.0,"2005 Literary Studies; 20 Language, Communication and Culture"
10.5334/johd.7,,,,,
10.5334/johd.8,10.1080/13555502.2017.1301178,2.0,0.0,7.0,"2005 Literary Studies; 20 Language, Communication and Culture; 21 History and Archaeology; 2002 Cultural Studies; 2103 Historical Studies"
10.5334/johd.9,10.3389/frma.2018.00021,1.0,1.0,27.0,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing
10.5334/johd.10,,,,,
10.5334/johd.11,10.4324/9781315268323-10,,,,
10.5334/johd.13,10.1093/llc/fqz070,5.0,5.0,7.0,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing
10.5334/johd.13,10.1515/opli-2016-0026,4.0,2.0,,"2005 Literary Studies; 20 Language, Communication and Culture"
10.5334/johd.12,10.12688/openreseurope.13843.3,0.0,0.0,,"2004 Linguistics; 20 Language, Communication and Culture"
10.5334/johd.12,10.1075/dia.20009.bod,4.0,4.0,71.0,"2004 Linguistics; 20 Language, Communication and Culture"
10.5334/johd.14,10.1002/asi.24499,2.0,2.0,13.0,08 Information and Computing Sciences; 0806 Information Systems
10.5334/johd.14,10.1353/mns.2018.0012,4.0,3.0,,
10.5334/johd.15,,,,,
10.5334/johd.17,10.3390/informatics7040044,0.0,0.0,,08 Information and Computing Sciences; 0807 Library and Information Studies; 0806 Information Systems
10.5334/johd.16,,,,,
10.5334/johd.19,,,,,
10.5334/johd.21,10.1371/journal.pone.0236166,3.0,3.0,116.0,08 Information and Computing Sciences; 0806 Information Systems
10.5334/johd.21,10.1093/jamiaopen/ooab089,0.0,0.0,4.0,08 Information and Computing Sciences; 0806 Information Systems
10.5334/johd.20,10.17813/1086-671x-24-2-157,2.0,1.0,12.0,16 Studies in Human Society; 1699 Other Studies In Human Society
10.5334/johd.20,10.4324/9780203728628-7,2.0,2.0,,
10.5334/johd.23,,,,,
10.5334/johd.22,10.1093/llc/fqab032,0.0,0.0,6.0,"2004 Linguistics; 20 Language, Communication and Culture"
10.5334/johd.27,,,,,
10.5334/johd.25,10.1515/lingvan-2021-0053,0.0,0.0,17.0,2103 Historical Studies; 21 History and Archaeology
10.5334/johd.28,,,,,
10.5334/johd.24,,,,,
10.5334/johd.44,,,,,
10.5334/johd.31,,,,,
10.5334/johd.32,10.5334/johd.31,1.0,1.0,35.0,"2004 Linguistics; 0801 Artificial Intelligence and Image Processing; 20 Language, Communication and Culture; 08 Information and Computing Sciences"
10.5334/johd.33,http://ceur-ws.org/Vol-2723/short26.pdf,,,,
10.5334/johd.30,http://ceur-ws.org/Vol-2723/long7.pdf,,,,
10.5334/johd.26,,,,,
10.5334/johd.46,,,,,
10.5334/johd.34,,,,,
10.5334/johd.42,,,,,
10.5334/johd.35,10.1007/978-3-658-30702-8_7,1.0,1.0,,
10.5334/johd.45,10.6084/m9.figshare.14743044.v2,,,,
10.5334/johd.39,,,,,
10.5334/johd.43,,,,,
10.5334/johd.37,,,,,
10.5334/johd.48,,,,,
10.5334/johd.36,,,,,
10.5334/johd.47,,,,,
10.5334/johd.49,10.1080/23273798.2018.1552007,20.0,13.0,12.0,17 Psychology and Cognitive Sciences; 1701 Psychology
10.5334/johd.55,,,,,
10.5334/johd.57,,,,,
10.5334/johd.52,,,,,
10.5334/johd.54,,,,,
10.5334/johd.63,,,,,
10.5334/johd.70,,,,,
10.5334/johd.65,,,,,
10.5334/johd.58,,,,,
10.5334/johd.56,10.1145/3371140.3371143,1.0,1.0,,09 Engineering; 0909 Geomatic Engineering
10.5334/johd.56,10.1145/3397536.3422236,2.0,2.0,,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing
10.5334/johd.68,,,,,
10.5334/johd.67,,,,,
10.5334/johd.71,,,,,
10.5334/johd.74,,,,,
10.5334/johd.62,,,,,
10.5334/johd.59,,,,,
10.5334/johd.76,,,,,
10.5334/johd.75,,,,,
