DOI,repo-name,repourl,views,unique-views,downloads,unique-downloads
10.5334/johd.1,Zenodo,https://zenodo.org/record/31026#.YNCwuUwo9EY,2487,2360,879,727
10.5334/johd.2,Figshare,http://dx.doi.org/10.6084/m9.figshare.1305596,5674,NA,860,NA
10.5334/johd.4,Other,http://hdl.handle.net/1969.1/156315,1002,NA,NA,NA
10.5334/johd.6,Figshare,https://dx.doi.org/10.6084/m9.figshare.3493103,717,NA,4909,NA
10.5334/johd.7,Other,https://earlyracefilm.github.io/database/,NA,NA,NA,NA
10.5334/johd.8,Zenodo,https://doi.org/10.5281/zenodo.200399,217,198,15,14
10.5334/johd.9,Zenodo,http://doi.org/10.5281/zenodo.579679,123,117,22,17
10.5334/johd.10,Figshare,https://doi.org/10.6084/m9.figshare.5398537,977,NA,189,NA
10.5334/johd.11,Figshare,https://doi.org/10.6084/m9.figshare.7353164.v6,640,NA,232,NA
10.5334/johd.12,Zenodo,https://doi.org/10.5281/zenodo.3741500,362,299,47,45
10.5334/johd.13,Zenodo,https://doi.org/10.5281/zenodo.3596076,188,161,17,17
10.5334/johd.14,Zenodo,https://zenodo.org/record/3667486,1049,765,70,57
10.5334/johd.15,Other,https://repository.upenn.edu/judaica_americana/2/,112,NA,236,NA
10.5334/johd.16,Dataverse,https://doi.org/10.7910/DVN/4JQRCL/GZLWGZ,8053,NA,NA,NA
10.5334/johd.17,Figshare,https://doi.org/10.6084/m9.figshare.12333290.v1,944,NA,183,NA
10.5334/johd.19,Other,https://digital.library.illinois.edu/collections/38ec6eb0-18c3-0135-242c-0050569601ca-1,NA,NA,NA,NA
10.5334/johd.20,OSF,https://doi.org/10.17605/OSF.IO/6V9ZF,NA,NA,NA,NA
10.5334/johd.21,Dataverse,https://doi.org/10.18738/T8/VSWAJY,588,NA,14,NA
10.5334/johd.22,Zenodo,https://zenodo.org/record/4301658,2390,2340,2212,2194
10.5334/johd.23,Other,https://doi.org/10.23636/1136,NA,NA,NA,NA
10.5334/johd.24,Zenodo,https://doi.org/10.5281/zenodo.4557828,399,362,192,178
10.5334/johd.25,DataShare,https://datashare.ed.ac.uk/handle/10283/3866,185,NA,NA,NA
10.5334/johd.27,Dataverse,https://doi.org/10.7910/DVN/IU1XFO,19,NA,NA,NA
10.5334/johd.28,Zenodo,https://doi.org/10.5281/zenodo.3824950,1763,1587,195,172
10.5334/johd.24,Zenodo,https://doi.org/10.5281/zenodo.4557828,399,362,192,178
10.5334/johd.44,Dataverse,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QD94F9,65,NA,NA,NA
10.5334/johd.31,OSF,https://osf.io/ck3gd/,NA,NA,NA,NA
10.5334/johd.32,OSF,https://osf.io/ck3gd/,NA,NA,NA,NA
10.5334/johd.33,Kaggle,https://doi.org/10.34740/kaggle/dsv/2250730,2448,NA,184,NA
10.5334/johd.30,Zenodo,https://doi.org/10.5281/zenodo.4315208,562,469,73,56
10.5334/johd.26,Figshare-Inst,https://kilthub.cmu.edu/articles/dataset/DH_Conference_Index_Data_-_9_22_2020/12987959/1,2504,NA,993,NA
10.5334/johd.46,Zenodo,https://doi.org/10.5281/zenodo.4905560,50,45,8,4
10.5334/johd.46,Zenodo,https://doi.org/10.5281/zenodo.4746341,301,259,36,23
10.5334/johd.34,Zenodo,https://doi.org/10.5281/zenodo.4562336,257,168,26,24
10.5334/johd.42,Zenodo,https://doi.org/10.5281/zenodo.4707811,85,71,10,10
10.5334/johd.35,Zenodo,https://doi.org/10.5281/zenodo.4569733,35,31,10,8
10.5334/johd.45,Zenodo,https://doi.org/10.5281/zenodo.4748989,96,71,24,16
10.5334/johd.39,Zenodo,https://zenodo.org/record/4583802,285,255,95,89
10.5334/johd.48,Zenodo,http://doi.org/10.5281/zenodo.4782245,414,317,377,182
10.5334/johd.36,Zenodo,https://zenodo.org/record/4571507,131,122,104,89
10.5334/johd.47,Dataverse,https://doi.org/10.7910/DVN/5TEA5A,6,NA,NA,NA
10.5334/johd.49,DANS,https://doi.org/10.17026/dans-zqk-zmqs,NA,NA,NA,NA
10.5334/johd.55,Zenodo,https://doi.org/10.5281/zenodo.5074307,228,181,22,22
10.5334/johd.57,Dataverse,https://doi.org/10.7910/DVN/BYPOOR,20,NA,NA,NA
10.5334/johd.65,Zenodo,https://zenodo.org/record/5602978#.YkWwoihBwdV,134,92,107,66
10.5334/johd.56,Other,https://bl.iro.bl.uk/concern/datasets/f3686eb9-4227-45cb-9acb-0453d35e6a03,NA,NA,NA,NA
10.5334/johd.68,Dataverse,https://doi.org/10.7910/DVN/PAGGQS,14,NA,NA,NA
10.5334/johd.67,Other,https://www.loc.gov/search/?fa=contributor:by+the+people+%28program%29,NA,NA,NA,NA
10.5334/johd.71,Dataverse,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HAKKUA,85,NA,NA,NA
10.5334/johd.74,Zenodo,https://zenodo.org/record/6220409#.YkWz-ihBwdU,118,100,54,22
10.5334/johd.62,Zenodo,https://doi.org/10.5281/zenodo.5591908,158,132,38,22
