variable1,variable2,rho,p-value,Strength of correlation,Significative?
altmetric_datapaper_johd,downloads_dataset_johd,0.0603338541638987,0.6772535993015847,Weak,Not significative
tot_citations_datapaper_johd,downloads_dataset_johd,-0.0396262931330472,0.7824857433105015,Weak,Not significative
tot_citations_research_johd,tot_citations_datapaper_johd,-0.0181553297233366,0.9344711629416114,Weak,Not significative
tot_citations_research_johd,altmetric_datapaper_johd,0.3929391339241416,0.0636260385611978,Weak,Borderline
tot_citations_research_johd,tweets_datapaper,0.3849808729839057,0.0696789712420166,Weak,Borderline
tot_citations_research_johd,views_datapaper_johd,0.0835617398724756,0.7046404798376871,Weak,Not significative
tot_citations_research_johd,downloads_datapaper_johd,0.1303165228963608,0.5534088426171426,Weak,Not significative
altmetric_research_johd,tot_citations_datapaper_johd,0.6825196259469375,0.0035766002041644,Moderate,Significative
altmetric_research_johd,altmetric_datapaper_johd,0.2783508173361678,0.2965317823696679,Weak,Not significative
altmetric_research_johd,views_datapaper_johd,0.4727545627773007,0.0644157807313605,Moderate,Borderline
altmetric_research_johd,downloads_datapaper_johd,0.5935205258543683,0.0153613058318345,Moderate,Significative
altmetric_research_johd,tweets_datapaper,0.307805930281794,0.2461376116824367,Weak,Not significative
altmetric_datapaper_johd,tot_citations_datapaper_johd,-0.0013340707365283,0.9917893489289576,Weak,Not significative
views_datapaper_johd,tot_citations_datapaper_johd,0.2984595780531561,0.0175042916169862,Weak,Significative
tweets_datapaper,tot_citations_datapaper_johd,-0.0039673770225896,0.9753815094139346,Weak,Not significative
altmetric_datapaper_johd,views_datapaper_johd,0.1948515240578873,0.1291086668257317,Weak,Not significative
altmetric_datapaper_johd,downloads_datapaper_johd,0.2056878090223067,0.1087519304651589,Weak,Not significative
altmetric_research_johd,tot_citations_research_johd,0.1179946136688262,0.6634038351393431,Weak,Not significative
tot_citations_research_johd,downloads_dataset_johd,0.044609973674547,0.8696951655446735,Weak,Not significative
altmetric_datapaper_rdj,tot_citations_datapaper_rdj,0.1487678997147789,0.6624331656665008,Weak,Not significative
views_datapaper_rdj,tot_citations_datapaper_rdj,0.0706155766343887,0.767354246127608,Weak,Not significative
altmetric_datapaper_rdj,views_datapaper_rdj,0.7042428152039988,0.0105672471479118,Strong,Significative
altmetric_datapaper_rdj,downloads_datapaper_rdj,0.8591762345488785,0.0003426710469165,Strong,Significative
altmetric_datapaper_all,tot_citations_datapaper_all,0.0742161748286945,0.5326142710538542,Weak,Not significative
views_datapaper_all,tot_citations_datapaper_all,0.1918202355385467,0.0823458453460297,Weak,Not significative
downloads_datapaper_all,tot_citations_datapaper_all,0.1263907640771377,0.2548763984372661,Weak,Not significative
views_datapaper_all,altmetric_datapaper_all,0.0638728190667384,0.588746761603976,Weak,Not significative
downloads_datapaper_all,altmetric_datapaper_all,-0.0497381242419487,0.6738719847268213,Weak,Not significative
views_datapaper_all,downloads_datapaper_all,0.772251653616685,7.90173838050104e-18,Strong,Significative
tot_citations_research_all,tot_citations_datapaper_all,-0.2821344861082371,0.1457824749692049,Weak,Not significative
altmetric_research_all,tot_citations_datapaper_all,0.0492958510462477,0.8411607088264037,Weak,Not significative
altmetric_research_all,tot_citations_datapaper_all,0.0941824553900536,0.7013375331570564,Weak,Not significative
altmetric_datapaper_all,tot_citations_research_all,-0.0178451473163955,0.92960230009685,Weak,Not significative
views_datapaper_all,tot_citations_research_all,-0.1730024214645645,0.3694736626812742,Weak,Not significative
downloads_datapaper_all,tot_citations_research_all,-0.0049928548763222,0.9794928432586156,Weak,Not significative
views_datapaper_all,altmetric_research_all,-0.2482086647887538,0.2913452761809555,Weak,Not significative
downloads_datapaper_all,altmetric_research_all,-0.203697080525725,0.3890241627134287,Weak,Not significative
