Unnamed: 0,DOI,reponame,repourl,views,unique-views,downloads,unique-downloads,date
0,10.5334/johd.1,Zenodo,https://zenodo.org/record/31026#.YNCwuUwo9EY,2690.0,2526.0,964.0,765.0,2015-09-16
1,10.5334/johd.2,Figshare,http://dx.doi.org/10.6084/m9.figshare.1305596,5718.0,,862.0,,2015-03-02
2,10.5334/johd.4,Other,http://hdl.handle.net/1969.1/156315,819.0,,,,NA
3,10.5334/johd.6,Figshare,https://dx.doi.org/10.6084/m9.figshare.3493103,724.0,,4909.0,,2016-07-20
4,10.5334/johd.7,Other,https://earlyracefilm.github.io/database/,,,,,NA
5,10.5334/johd.8,Zenodo,https://doi.org/10.5281/zenodo.200399,246.0,225.0,15.0,14.0,2016-12-12
6,10.5334/johd.9,Zenodo,http://doi.org/10.5281/zenodo.579679,132.0,124.0,22.0,17.0,2017-05-14
7,10.5334/johd.10,Figshare,https://doi.org/10.6084/m9.figshare.5398537,998.0,,189.0,,2017-09-12
8,10.5334/johd.11,Figshare,https://doi.org/10.6084/m9.figshare.7353164.v6,656.0,,235.0,,2018-11-16
9,10.5334/johd.12,Zenodo,https://doi.org/10.5281/zenodo.3741500,385.0,312.0,47.0,45.0,2020-04-06
10,10.5334/johd.13,Zenodo,https://doi.org/10.5281/zenodo.3596076,199.0,169.0,18.0,18.0,2019-12-31
11,10.5334/johd.14,Zenodo,https://zenodo.org/record/3667486,1078.0,790.0,74.0,61.0,2020-02-14
12,10.5334/johd.15,Other,https://repository.upenn.edu/judaica_americana/2/,,,239.0,,NA
13,10.5334/johd.16,Dataverse,https://doi.org/10.7910/DVN/4JQRCL/GZLWGZ,,,8504.0,,2019-07-24
14,10.5334/johd.17,Figshare,https://doi.org/10.6084/m9.figshare.12333290.v1,962.0,,189.0,,2020-05-20
15,10.5334/johd.19,Other,https://digital.library.illinois.edu/collections/38ec6eb0-18c3-0135-242c-0050569601ca-1,,,,,NA
16,10.5334/johd.20,OSF,https://doi.org/10.17605/OSF.IO/6V9ZF,,,,,NA
17,10.5334/johd.21,Dataverse,https://doi.org/10.18738/T8/VSWAJY,602.0,,14.0,,2020-01-22
18,10.5334/johd.22,Zenodo,https://zenodo.org/record/4301658,2525.0,2469.0,2315.0,2297.0,2020-12-01
