DOI,reponame,repourl,views,unique-views,downloads,unique-downloads,date
10.5334/johd.1,Zenodo,https://zenodo.org/record/31026#.YNCwuUwo9EY,2788.0,2601.0,985.0,781.0,2015-09-16
10.5334/johd.2,Figshare,http://dx.doi.org/10.6084/m9.figshare.1305596,5758.0,,866.0,,2015-03-02
10.5334/johd.4,Other,http://hdl.handle.net/1969.1/156315,840.0,,,,2016-04-21
10.5334/johd.6,Figshare,https://dx.doi.org/10.6084/m9.figshare.3493103,740.0,,4909.0,,2016-07-20
10.5334/johd.7,Other,https://earlyracefilm.github.io/database/,,,,,
10.5334/johd.8,Zenodo,https://doi.org/10.5281/zenodo.200399,270.0,230.0,15.0,14.0,2016-12-12
10.5334/johd.9,Zenodo,http://doi.org/10.5281/zenodo.579679,157.0,130.0,22.0,17.0,2017-05-14
10.5334/johd.10,Figshare,https://doi.org/10.6084/m9.figshare.5398537,1018.0,,190.0,,2017-09-12
10.5334/johd.11,Figshare,https://doi.org/10.6084/m9.figshare.7353164.v6,683.0,,238.0,,2018-11-16
10.5334/johd.12,Zenodo,https://doi.org/10.5281/zenodo.3741500,417.0,321.0,47.0,45.0,2020-04-06
10.5334/johd.13,Zenodo,https://doi.org/10.5281/zenodo.3596076,227.0,178.0,21.0,21.0,2019-12-31
10.5334/johd.14,Zenodo,https://zenodo.org/record/3667486,1138.0,826.0,74.0,61.0,2020-02-14
10.5334/johd.15,Other,https://repository.upenn.edu/judaica_americana/2/,,,240.0,,
10.5334/johd.16,Dataverse,https://doi.org/10.7910/DVN/4JQRCL/GZLWGZ,,,8751.0,,2019-07-24
10.5334/johd.17,Figshare,https://doi.org/10.6084/m9.figshare.12333290.v1,996.0,,203.0,,2020-05-20
10.5334/johd.19,Other,https://digital.library.illinois.edu/collections/38ec6eb0-18c3-0135-242c-0050569601ca-1,,,,,2019-10-22
10.5334/johd.20,OSF,https://doi.org/10.17605/OSF.IO/6V9ZF,,,,,2019-06-10
10.5334/johd.21,Dataverse,https://doi.org/10.18738/T8/VSWAJY,631.0,,15.0,,2020-01-22
10.5334/johd.22,Zenodo,https://zenodo.org/record/4301658,2683.0,2599.0,2423.0,2405.0,2020-12-01
10.5334/johd.23,Other,https://doi.org/10.23636/1136,,,,,2019-11-22
10.5334/johd.24,Zenodo,https://doi.org/10.5281/zenodo.4557828,501.0,439.0,234.0,217.0,2021-02-23
10.5334/johd.25,DataShare,https://datashare.ed.ac.uk/handle/10283/3866,227.0,,,,2021-03-30
10.5334/johd.26,Figshare-Inst,https://kilthub.cmu.edu/articles/dataset/DH_Conference_Index_Data_-_9_22_2020/12987959/1,2789.0,,1097.0,,2020-09-22
10.5334/johd.27,Dataverse,https://doi.org/10.7910/DVN/IU1XFO,,,20.0,,2021-01-24
10.5334/johd.28,Zenodo,https://doi.org/10.5281/zenodo.3824950,1817.0,1627.0,198.0,175.0,2020-05-13
10.5334/johd.30,Zenodo,https://doi.org/10.5281/zenodo.4315208,653.0,541.0,82.0,65.0,2021-06-22
10.5334/johd.31,OSF,https://osf.io/ck3gd/,,,,,2021-02-16
10.5334/johd.32,OSF,https://osf.io/ck3gd/,,,,,2021-02-16
10.5334/johd.33,Kaggle,https://doi.org/10.34740/kaggle/dsv/2250730,3326.0,,233.0,,
10.5334/johd.34,Zenodo,https://doi.org/10.5281/zenodo.4562336,305.0,201.0,33.0,31.0,2021-02-12
10.5334/johd.35,Zenodo,https://doi.org/10.5281/zenodo.4569733,51.0,38.0,10.0,8.0,2021-03-01
