DOI,article_title,article_type,authors,date,downloads,views,tweets,data_collection_date
10.5334/johd.59,"Accessibility, Discoverability, and Functionality: An Audit of and Recommendations for Digital Language Archives",Research Papers,"Irene Yi, Amelia Lake, Juhyae Kim, Kassandra Haakman, Jeremiah Jewell, Sarah Babinski, Claire Bowern",2022-03-24,0,0,4,2022-04-04
10.5334/johd.62,Mining an English-Chinese parallel Dataset of Financial News,Research Papers,"Nicolas Turenne, Ziwei Chen, Guitao Fan, Jianlong Li, Yiwen Li, Siyuan Wang, Jiaqi Zhou",2022-03-18,0,0,1,2022-04-04
10.5334/johd.74,A Social Network of the Prosopography of the Neo-Assyrian Empire,Data Papers,"Heidi Jauhiainen, Tero Alstola",2022-03-17,0,0,10,2022-04-04
10.5334/johd.71,HATHI 1M: Introducing a Million Page Historical Prose Dataset in English from the Hathi Trust,Research Papers,"Sunyam Bagga, Andrew Piper",2022-03-11,0,0,64,2022-04-04
10.5334/johd.60,Teaching Linked Open Data using Bibliographic Metadata,Research Papers,Terhi Nurmikko-Fuller,2022-03-10,0,0,6,2022-04-04
10.5334/johd.67,By the People Crowdsourcing Datasets from the Library of Congress,Data Papers,"Victoria Van Hyning, Lauren Algee, Mason Jones, Carlyn Osborn, Trevor Owens, Lauren Seroka, Abby Shelton",2022-02-04,0,0,2,2022-04-04
10.5334/johd.68,China Biographical Database (CBDB): A Relational Database for Prosopographical Research of Pre-Modern China,Data Papers,"Song Chen, Hongsu Wang",2022-01-27,10,59,1,2022-04-04
10.5334/johd.56,A Dataset for Toponym Resolution in Nineteenth-Century English Newspapers,Data Papers,"Mariona Coll Ardanuy, David Beavan, Kaspar Beelen, Kasra Hosseini, Jon Lawrence, Katherine McDonough, Federico Nanni, Daniel van Strien, Daniel C. S. Wilson",2022-01-24,10,106,5,2022-04-04
10.5334/johd.58,From Static to Interactive Maps: Drawing Diachronic Maps of (Latin) Modality with Pygmalion,Research Papers,"Paola Marongiu, Francesca Dell’Oro",2022-01-12,14,76,10,2022-04-04
10.5334/johd.65,Corpus of the Epigraphy of the Italian Peninsula in the 1st Millennium BCE (CEIPoM),Data Papers,Reuben J. Pitts,2022-01-03,10,59,1,2022-04-04
10.5334/johd.70,Normalized Datasets of Klinghardt’s and Nicolotti’s Reconstructions of Marcion’s Gospel,Data Papers,Mark G. Bilby,2021-12-30,1,45,1,2022-04-04
10.5334/johd.63,Normalized Datasets of Hahn’s and Zahn’s Reconstructions of Marcion’s Gospel,Data Papers,Mark G. Bilby,2021-12-29,1,22,1,2022-04-04
10.5334/johd.54,Old Catalan Morphosyntax: Developing an Annotated Corpus,Research Papers,"Marieke Meelen, Afra Pujol i Campeny",2021-12-21,13,46,2,2022-04-04
10.5334/johd.52,Whose Crisis? COVID-19 Explored through Arts and Cultural Practices of African Communities,Research Papers,"Mia Perry, Dane Mathendele Armstrong, Bosco Exson Chinkonda, Richard Kagolobya, Rebecca Nthogo Lekoko, George Olusola Ajibade",2021-11-30,19,135,11,2022-04-04
10.5334/johd.51,"The Curation of Language Data as a Distinct Academic Activity: A Call to Action for Researchers, Educators, Funders, and Policymakers",Research Papers,Tobias Weber,2021-11-30,4,72,2,2022-04-04
10.5334/johd.57,Normalized Datasets of Roth’s Reconstruction of Marcion’s Gospel,Data Papers,Mark G. Bilby,2021-11-12,7,180,2,2022-04-04
10.5334/johd.55,PapyGreek Treebanks: A Dataset of Linguistically Annotated Greek Documentary Papyri,Data Papers,"Marja Vierros, Erik Henriksson",2021-11-05,18,97,3,2022-04-04
10.5334/johd.49,Eyelit: Eye Movement and Reader Response Data During Literary Reading,Data Papers,"Marloes Mak, Roel M. Willems",2021-10-13,40,205,8,2022-04-04
10.5334/johd.47,Normalized Datasets of Harnack’s Reconstruction of Marcion’s Gospel,Data Papers,Mark G. Bilby,2021-10-13,17,244,7,2022-04-04
10.5334/johd.36,"Named-Entity Dataset for Medieval Latin, Middle High German and Old Norse",Data Papers,"Clément Besnier, William Mattingly",2021-10-06,16,195,20,2022-04-04
10.5334/johd.48,Neural Language Models for Nineteenth-Century English,Data Papers,"Kasra Hosseini, Kaspar Beelen, Giovanni Colavizza, Mariona Coll Ardanuy",2021-09-27,43,214,18,2022-04-04
10.5334/johd.37,"Grasping the Anti-Modern Discourse on Europe in the Swiss Digitised Press, or can Text Mining Generate a Research Corpus from an Article Collection?",Research Papers,Estelle Bunout,2021-09-17,8,76,7,2022-04-04
10.5334/johd.43,Enriching the 1758 Portuguese Parish Memories (Alentejo) with Named Entities,Research Papers,"Renata Vieira, Fernanda Olival, Helena Freire Cameron, Joaquim Santos, Ofélia Sequeira, Ivo Santos",2021-09-09,12,96,7,2022-04-04
10.5334/johd.39,Crime at Sea: A Global Database of Maritime Pirate Attacks (1993–2020),Data Papers,"Paul Benden, Alan Feng, Christopher Howell, Giulio Valentino Dalla Riva",2021-08-30,97,693,16,2022-04-04
10.5334/johd.45,Development and Validation of a Corpus of Written Parliamentary Questions in the Hellenic Parliament,Research Papers,"Fotios Fitsilis, George Mikros",2021-08-04,29,184,7,2022-04-04
10.5334/johd.35,A Reproducible IT-Blog Corpus,Data Papers,"Adrien Barbaresi, Jens Pohlmann",2021-07-22,20,114,20,2022-04-04
10.5334/johd.29,Microscopic Views on a Global Pandemic: Social and Cultural Effects of the Covid-19 Pandemic as Documented in Two Dutch Community Archives,Research Papers,"Julia Noordegraaf, José Boon, Dora Vrhoci, Joost Dofferhoff, Pieter van der Molen, Nuala Vlogman, Tobias Blanke",2021-07-21,40,236,3,2022-04-04
10.5334/johd.42,The Corpus for Idiolectal Research (CIDRE),Data Papers,"Olga Seminck, Philippe Gambette, Dominique Legallois, Thierry Poibeau",2021-07-15,16,139,3,2022-04-04
10.5334/johd.34,The Game Walkthrough Corpus (GWTC) – A Resource for the Analysis of Textual Game Descriptions,Data Papers,"Manuel Burghardt, Jochen Tiepmar",2021-07-14,20,187,12,2022-04-04
10.5334/johd.46,General Models for Handwritten Text Recognition: Feasibility and State-of-the Art. German Kurrent as an Example,Research Papers,"Tobias Hodel, David Schoch, Christa Schneider, Jake Purcell",2021-07-09,55,527,17,2022-04-04
10.5334/johd.26,The Index of Digital Humanities Conferences,Data Papers,"Matthew D. Lincoln, Scott B. Weingart, Nickoal Eichmann-Kalwara",2021-07-09,22,242,3,2022-04-04
