DOI,downloads,views,data_collection_date
10.1163/24523666-01000004,210,319,2022-07-04
10.1163/24523666-01000003,440,619,2022-07-04
10.1163/24523666-01000002,1098,1367,2022-07-04
10.1163/24523666-01000001,312,544,2022-07-04
10.1163/24523666-01000005,381,616,2022-07-04
10.1163/24523666-01000007,2319,2309,2022-07-04
10.1163/24523666-01000006,484,763,2022-07-04
10.1163/24523666-01000008,213,324,2022-07-04
10.1163/24523666-01000013,2559,3584,2022-07-04
10.1163/24523666-01000009,1525,2507,2022-07-04
10.1163/24523666-01000011,1539,2101,2022-07-04
10.1163/24523666-01000010,460,810,2022-07-04
10.1163/24523666-01000012,614,693,2022-07-04
10.1163/24523666-00401004,189,339,2022-07-04
10.1163/24523666-00401003,572,732,2022-07-04
10.1163/24523666-00401002,473,596,2022-07-04
10.1163/24523666-00401001,676,745,2022-07-04
10.1163/24523666-00401005,989,1180,2022-07-04
10.1163/24523666-00401006,584,753,2022-07-04
10.1163/24523666-00401007,1393,1816,2022-07-04
10.1163/24523666-00401008,1553,1690,2022-07-04
10.1163/24523666-bja10007,346,275,2022-07-04
10.1163/24523666-00501002,925,703,2022-07-04
10.1163/24523666-bja10003,412,345,2022-07-04
10.1163/24523666-bja10011,773,689,2022-07-04
10.1163/24523666-00502010,300,295,2022-07-04
10.1163/24523666-00502009,870,1042,2022-07-04
10.1163/24523666-00502008,1670,1767,2022-07-04
10.1163/24523666-00502007,383,400,2022-07-04
10.1163/24523666-00502006,671,649,2022-07-04
10.1163/24523666-00502005,532,381,2022-07-04
10.1163/24523666-bja10013,397,523,2022-07-04
10.1163/24523666-00502003,539,474,2022-07-04
10.1163/24523666-bja10002,648,536,2022-07-04
10.1163/24523666-bja10008,804,626,2022-07-04
10.1163/24523666-06010001,179,208,2022-07-04
10.1163/24523666-06010002,264,405,2022-07-04
10.1163/24523666-06010003,5467,3539,2022-07-04
10.1163/24523666-bja10018,198,186,2022-07-04
10.1163/24523666-bja10019,134,146,2022-07-04
10.1163/24523666-bja10017,510,631,2022-07-04
10.1163/24523666-06010004,274,208,2022-07-04
10.1163/24523666-bja10009,842,555,2022-07-04
10.1163/24523666-07010001,265,198,2022-07-04
10.1163/24523666-bja10022,194,137,2022-07-04
10.1163/24523666-bja10023,6,0,2022-07-04
