,doi,html,publication_date,downloads,views,days_since_publication
0,https://doi.org/10.5061/dryad.428mq,https://zenodo.org/record/4948906,2015-09-29,2.0,3.0,2440
1,https://doi.org/10.5061/dryad.jf2n3,https://zenodo.org/record/4956360,2015-09-29,0.0,3.0,2440
2,https://doi.org/10.5061/dryad.1s5rh,https://zenodo.org/record/4974133,2015-09-29,0.0,2.0,2440
3,https://doi.org/10.5061/dryad.16nt8,https://zenodo.org/record/4992018,2015-09-29,14.0,13.0,2440
4,https://doi.org/10.5061/dryad.rb14v,https://zenodo.org/record/4999014,2015-09-29,0.0,3.0,2440
5,https://doi.org/10.5061/dryad.32h8t,https://zenodo.org/record/5024864,2015-09-29,0.0,1.0,2440
6,https://doi.org/10.5281/zenodo.33204,https://zenodo.org/record/33204,2015-09-30,4.0,40.0,2439
7,https://doi.org/10.5061/dryad.19nf6,https://zenodo.org/record/4935105,2015-09-30,0.0,12.0,2439
8,https://doi.org/10.5061/dryad.c7885,https://zenodo.org/record/4952335,2015-09-30,0.0,4.0,2439
9,https://doi.org/10.5061/dryad.2v3h4,https://zenodo.org/record/4964848,2015-09-30,1.0,7.0,2439
10,https://doi.org/10.5061/dryad.53mc6,https://zenodo.org/record/4967982,2015-09-30,0.0,2.0,2439
11,https://doi.org/10.5061/dryad.62247,https://zenodo.org/record/4968404,2015-09-30,1.0,3.0,2439
12,https://doi.org/10.5061/dryad.n0432,https://zenodo.org/record/4992404,2015-09-30,1.0,4.0,2439
13,https://doi.org/10.5281/zenodo.31711,https://zenodo.org/record/31711,2015-10-01,233.0,771.0,2438
14,https://doi.org/10.5281/zenodo.1290759,https://zenodo.org/record/1290759,2015-10-01,86.0,482.0,2438
15,https://doi.org/10.5061/dryad.1dm02,https://zenodo.org/record/4937767,2015-10-01,38.0,25.0,2438
16,https://doi.org/10.5061/dryad.vn536,https://zenodo.org/record/4946520,2015-10-01,0.0,5.0,2438
17,https://doi.org/10.5061/dryad.0f7s7,https://zenodo.org/record/4962114,2015-10-01,0.0,4.0,2438
18,https://doi.org/10.5061/dryad.7vd0j,https://zenodo.org/record/4970359,2015-10-01,0.0,4.0,2438
19,https://doi.org/10.5061/dryad.3c0f1,https://zenodo.org/record/4978370,2015-10-01,9.0,5.0,2438
20,https://doi.org/10.5061/dryad.0398p,https://zenodo.org/record/4989027,2015-10-01,0.0,2.0,2438
21,https://doi.org/10.5061/dryad.7pk05,https://zenodo.org/record/5017331,2015-10-01,0.0,5.0,2438
22,https://doi.org/10.5061/dryad.nr6bb,https://zenodo.org/record/5022281,2015-10-01,0.0,5.0,2438
23,https://doi.org/10.5061/dryad.116td,https://zenodo.org/record/4948919,2015-10-03,0.0,3.0,2436
24,https://doi.org/10.5061/dryad.f70r3,https://zenodo.org/record/4969688,2015-10-03,1.0,5.0,2436
25,https://doi.org/10.5061/dryad.7266j,https://zenodo.org/record/5002405,2015-10-03,0.0,2.0,2436
26,https://doi.org/10.3897/zookeys.525.6020.suppl3,https://zenodo.org/record/902750,2015-10-05,54.0,30.0,2434
27,https://doi.org/10.5281/zenodo.1291810,https://zenodo.org/record/1291810,2015-10-05,82.0,653.0,2434
28,https://doi.org/10.5281/zenodo.13751,https://zenodo.org/record/13751,2015-10-06,1353.0,484.0,2433
29,https://doi.org/10.5061/dryad.gp30n,https://zenodo.org/record/4940402,2015-10-06,0.0,6.0,2433
30,https://doi.org/10.5061/dryad.m9160,https://zenodo.org/record/4943436,2015-10-06,1.0,4.0,2433
31,https://doi.org/10.5061/dryad.c1m3b,https://zenodo.org/record/4960795,2015-10-06,6.0,47.0,2433
32,https://doi.org/10.5061/dryad.7c550,https://zenodo.org/record/4961936,2015-10-06,0.0,9.0,2433
33,https://doi.org/10.5061/dryad.v2j1r,https://zenodo.org/record/5012408,2015-10-06,3.0,8.0,2433
34,https://doi.org/10.5061/dryad.89627,https://zenodo.org/record/5026544,2015-10-06,0.0,3.0,2433
35,https://doi.org/10.5281/zenodo.31904,https://zenodo.org/record/31904,2015-10-07,3.0,62.0,2432
36,https://doi.org/10.5281/zenodo.31912,https://zenodo.org/record/31912,2015-10-07,31.0,146.0,2432
37,https://doi.org/10.5061/dryad.m010p,https://zenodo.org/record/4940626,2015-10-07,1.0,4.0,2432
38,https://doi.org/10.5061/dryad.567pt,https://zenodo.org/record/4961124,2015-10-07,2.0,5.0,2432
39,https://doi.org/10.5061/dryad.3g1h2,https://zenodo.org/record/4970045,2015-10-07,1.0,8.0,2432
