DOI,article_title,article_type,authors,date,downloads,views,tweets,data_collection_date,Times cited,Recent citations,Altmetric,FOR (ANZSRC) Categories,,,
10.5334/johd.71,HATHI 1M: Introducing a Million Page Historical Prose Dataset in English from the Hathi Trust,Research Papers,"Sunyam Bagga, Andrew Piper",2022-03-11,0,0,71,2022-06-04,0,0,61,"2004 Linguistics; 2005 Literary Studies; 20 Language, Communication and Culture",,,
10.5334/johd.67,By the People Crowdsourcing Datasets from the Library of Congress,Data Papers,"Victoria Van Hyning, Lauren Algee, Mason Jones, Carlyn Osborn, Trevor Owens, Lauren Seroka, Abby Shelton",2022-02-04,0,0,2,2022-06-04,0,0,47,2103 Historical Studies, 21 History and Archaeology,,
10.5334/johd.65,Corpus of the Epigraphy of the Italian Peninsula in the 1st Millennium BCE (CEIPoM),Data Papers,Reuben J. Pitts,2022-01-03,10,59,3,2022-06-04,0,0,13,"2004 Linguistics; 20 Language, Communication and Culture; 2003 Language Studies",,,
10.5334/johd.39,Crime at Sea: A Global Database of Maritime Pirate Attacks (1993–2020),Data Papers,"Paul Benden, Alan Feng, Christopher Howell, Giulio Valentino Dalla Riva",2021-08-30,97,693,18,2022-06-04,0,0,12,08 Information and Computing Sciences, 0806 Information Systems,,
10.5334/johd.45,Development and Validation of a Corpus of Written Parliamentary Questions in the Hellenic Parliament,Research Papers,"Fotios Fitsilis, George Mikros",2021-08-04,29,184,9,2022-06-04,0,0,5,1606 Political Science, 16 Studies in Human Society,,
10.5334/johd.35,A Reproducible IT-Blog Corpus,Data Papers,"Adrien Barbaresi, Jens Pohlmann",2021-07-22,20,114,20,2022-06-04,0,0,14,08 Information and Computing Sciences, 0801 Artificial Intelligence and Image Processing,,
10.5334/johd.29,Microscopic Views on a Global Pandemic: Social and Cultural Effects of the Covid-19 Pandemic as Documented in Two Dutch Community Archives,Research Papers,"Julia Noordegraaf, José Boon, Dora Vrhoci, Joost Dofferhoff, Pieter van der Molen, Nuala Vlogman, Tobias Blanke",2021-07-21,40,236,3,2022-06-04,0,0,3,"16 Studies in Human Society; 20 Language, Communication and Culture; 21 History and Archaeology; 2102 Curatorial and Related Studies; 1608 Sociology; 2002 Cultural Studies",,,
10.5334/johd.42,The Corpus for Idiolectal Research (CIDRE),Data Papers,"Olga Seminck, Philippe Gambette, Dominique Legallois, Thierry Poibeau",2021-07-15,16,139,3,2022-06-04,0,0,6,"2005 Literary Studies; 20 Language, Communication and Culture",,,
10.5334/johd.34,The Game Walkthrough Corpus (GWTC) – A Resource for the Analysis of Textual Game Descriptions,Data Papers,"Manuel Burghardt, Jochen Tiepmar",2021-07-14,20,187,12,2022-06-04,0,0,13,"2004 Linguistics; 20 Language, Communication and Culture",,,
10.5334/johd.46,General Models for Handwritten Text Recognition: Feasibility and State-of-the Art. German Kurrent as an Example,Research Papers,"Tobias Hodel, David Schoch, Christa Schneider, Jake Purcell",2021-07-09,55,527,21,2022-06-04,2,2,26,08 Information and Computing Sciences, 0801 Artificial Intelligence and Image Processing,,
10.5334/johd.26,The Index of Digital Humanities Conferences,Data Papers,"Matthew D. Lincoln, Scott B. Weingart, Nickoal Eichmann-Kalwara",2021-07-09,22,242,3,2022-06-04,0,0,33,2103 Historical Studies, 21 History and Archaeology,,
10.5334/johd.30,“d-Prose 1870–1920” a Collection of German Prose Texts from 1870 to 1920,Data Papers,"Evelyn Gius, Svenja Guhr, Inna Uglanova",2021-07-08,12,148,6,2022-06-04,0,0,24,"2004 Linguistics; 2005 Literary Studies; 20 Language, Communication and Culture",,,
10.5334/johd.33,MuSe: The Musical Sentiment Dataset,Data Papers,"Christopher Akiki, Manuel Burghardt",2021-07-07,44,544,3,2022-06-04,0,0,3,19 Studies in Creative Arts and Writing, 1904 Performing Arts and Creative Writing,,
10.5334/johd.32,"A Telegram Corpus for Hate Speech, Offensive Language, and Online Harm",Data Papers,"Veronika Solopova, Tatjana Scheffler, Mihaela Popa-Wyatt",2021-07-05,106,833,1,2022-06-04,1,1,15,"2004 Linguistics; 20 Language, Communication and Culture",,,
10.5334/johd.24,A Dataset of COVID-Related Misinformation Videos and their Spread on Social Media,Data Papers,"Aleksi Knuutila, Aliaksandr Herasimenko, Hubert Au, Jonathan Bright, Philip N. Howard",2021-06-11,150,786,2,2022-06-04,0,0,1,08 Information and Computing Sciences, 0806 Information Systems,,
10.5334/johd.28,Digital Narratives of COVID-19: A Twitter Dataset for Text Analysis in Spanish,Data Papers,"Susanna Allés-Torrent, Gimena del Rio Riande, Jerry Bonnell, Dieyun Song, Nidia Hernández",2021-06-10,32,463,6,2022-06-04,0,0,14,"2004 Linguistics; 20 Language, Communication and Culture",,,
10.5334/johd.25,The Lothian Diary Project: Investigating the Impact of the COVID-19 Pandemic on Edinburgh and Lothian Residents,Data Papers,"Lauren Hall-Lew, Claire Cowie, Stephen Joseph McNulty, Nina Markl, Shan-Jan Sarah Liu, Catherine Lai, Clare Llewellyn, Beatrice Alex, Nini Fang, Zuzana Elliott, Anita Klingler",2021-04-16,56,288,8,2022-06-04,2,2,22,1117 Public Health and Health Services, 11 Medical and Health Sciences,,
10.5334/johd.27,A Bibliography of Cuneiform Tablet Editions in United States Colleges and Universities through 2020,Data Papers,Sara Mohr,2021-03-29,52,406,19,2022-06-04,0,0,38,2103 Historical Studies, 21 History and Archaeology,,
10.5334/johd.22,A Collection of Swedish Diachronic Word Embedding Models Trained on Historical Newspaper Data,Data Papers,"Simon Hengchen, Nina Tahmasebi",2021-01-27,54,305,6,2022-06-04,2,2,4,"2004 Linguistics; 20 Language, Communication and Culture",,,
10.5334/johd.23,Converting the British Library’s Catalogue of British and Irish Newspapers into a Public Domain Dataset: Processes and Applications,Data Papers,"Yann Ryan, Luke McKernan",2021-01-22,40,381,34,2022-06-04,0,0,41,2103 Historical Studies, 21 History and Archaeology,,
10.5334/johd.20,Collection Objects from the Digital Occupy Archive,Data Papers,"Stephanie Becker, Heather McKee Hurwitz, Anne Kumer",2020-11-23,40,374,5,2022-06-04,0,0,6,2103 Historical Studies, 21 History and Archaeology,,
