,Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted likes,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted media views,promoted media engagements
1,1387666317692608512,https://twitter.com/up_johd/status/1387666317692608512,"#johdagenda
Today is the #DayofDH2021! You can share your work in #digitalhumanities on Twitter and get to know the others' by using the # of following @DayofDH.
This year's theme is ""Multilingual #DH"", so feel free to share from all over the world 🌍
#JOHD",2021-04-29 07:13 +0000,1847.0,34.0,0.018408229561451002,7.0,0.0,6.0,12.0,0.0,0.0,9.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,1384094170973757445,https://twitter.com/up_johd/status/1384094170973757445,"#johdagenda
Make sure to register for the 2nd #OpenHumanitiesData Forum! Deadline in two days (April 21st). 
You can find the registration form at https://t.co/PJWKSHbUZc
and the program at https://t.co/xT1zzR9BHx (UTC time⚠️)
#JOHD @resdatall #languagedocumentation https://t.co/XjJUaLV8Cy",2021-04-19 10:39 +0000,169.0,1.0,0.005917159763313609,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,1377683540012376071,https://twitter.com/up_johd/status/1377683540012376071,"#johdagenda
Register for the 16th International Digital Curation Conference #IDCC21  @digitalcuration about different aspects of #dataquality and its impact on research outputs

🗓️ 19 April
📍 Virtual event co-located with the @resdatall 17th plenary

Info https://t.co/c452TrVRzR",2021-04-01 18:05 +0000,204.0,8.0,0.0392156862745098,0.0,0.0,2.0,1.0,2.0,0.0,3.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,1377597361900281864,https://twitter.com/up_johd/status/1377597361900281864,"#johdagenda

Deadline extended for the #CallforSessions of #SciDataCon 2021. Part of #IDW21, this year's theme is ""Data to improve the world"".

Info at https://t.co/g5sNSaRvhy
Link for submission https://t.co/MDLc5SWtuW

Deadline on 30 April 2021

@resdatall #opendata",2021-04-01 12:23 +0000,438.0,8.0,0.0182648401826484,1.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,1468530073187794948,https://twitter.com/up_johd/status/1468530073187794948,"#johdagenda
#LinkedPasts7 is in less than a week! @GhentCDH #CLARIAH-VL
📅 13 - 21 November 
📍 Online
Registration (free)👉 https://t.co/kod7JJxYNK
Program and related information 👉 https://t.co/jeIoxAjrP9",2021-12-08 10:37 +0000,432.0,12.0,0.027777777777777776,1.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98,1362763874533974017,https://twitter.com/up_johd/status/1362763874533974017,"#johdagenda
Still some time left to submit a proposal for #ACH2021!
Deadline extended to February 28th ⏳
#CfP #computationalhumanities #DigitalHumanities https://t.co/NFstLsst9g",2021-02-19 14:00 +0000,538.0,12.0,0.022304832713754646,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99,1362406291499540481,https://twitter.com/up_johd/status/1362406291499540481,"#johdagenda for #digitalhumanities 

Registrations open for the @MSUGloobalDH event! Find the form to register for the symposium at https://t.co/jP6HmxnmPV
And follow the news on Twitter at #msuglobaldh
🗓️ 12-15 April 2021
📍 online at https://t.co/7HVMILfPaF https://t.co/JHAaELHFBo",2021-02-18 14:19 +0000,198.0,7.0,0.03535353535353535,2.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100,1361963848954175490,https://twitter.com/up_johd/status/1361963848954175490,"#johdagenda🔔

Helsinki #digitalhumanities Hackathon 2021 #DHH21! 

When: 19 to 28 May 2021
Applications: 9 to 31 March 2021

The event will be online, and participation is free!
@helsinkiuni @AaltoUniversity @FinClarin 
@CLARINERIC  @DARIAHeu 
@NewsEyeEU 
https://t.co/hCBbesGwn5",2021-02-17 09:01 +0000,766.0,13.0,0.016971279373368148,4.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102,1361306770568790019,https://twitter.com/up_johd/status/1361306770568790019,"#johdagenda

The global virtual event #NISOPlus2021 by @nisoplus is happening in a week (February 22-25)! Register for the conference and take a look at the schedule here ➡️ https://t.co/EjjI6LYuEW
#openresearch #datasharing #OpenData",2021-02-15 13:30 +0000,132.0,1.0,0.007575757575757576,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105,1360185631582871554,https://twitter.com/up_johd/status/1360185631582871554,"#johdagenda
The Research Data Access &amp; Preservation virtual summit will take place online on March 10-12. Registrations are open! You can apply for a scholarship by February 19 ⏳#RDAP21 
Details on @RDAPassn and here ➡️ https://t.co/QlXlMNFo8F

#datamanagement #researchdata https://t.co/hZov0v6B5I",2021-02-12 11:15 +0000,151.0,4.0,0.026490066225165563,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
