,Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted likes,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted media views,promoted media engagements
76,1468566033661366272,https://twitter.com/up_johd/status/1468566033661366272,"#johdsuggestions
An interesting thread by @ODIHQ about the #data policy document from the UK government 👇 the government commits to 'consider what open and machine-readable government datasets can be published for #AI models'
#humanitiesdata should be part of the picture 🔎 https://t.co/FX1tdyLNWt",2021-12-08 13:00 +0000,199.0,2.0,0.010050251256281407,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
92,1364575819809644550,https://twitter.com/up_johd/status/1364575819809644550,"#johdsuggestions
Did you know about the @dhawards?
You can still vote your favorite #dh resource for the #DigitalHumanities Awards 2021! Deadline on March 7 ⏳
Voting platform https://t.co/wa5KWGXHPZ https://t.co/2c3gXFUDpp",2021-02-24 14:00 +0000,1169.0,9.0,0.007698887938408896,5.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101,1361617818786095105,https://twitter.com/up_johd/status/1361617818786095105,"#johdsuggestions 🔔

If you're interested in #OpenData related matters, you might be interested in this #RDA @resdatall 
#openresearch https://t.co/kVAc19hcCM",2021-02-16 10:06 +0000,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104,1360544246722273281,https://twitter.com/up_johd/status/1360544246722273281,"#johdsuggestions

If you want to keep up with #dh events all around the world, you can keep an eye on the @CLIRDLF calendar ➡️ https://t.co/XlZFHdTrtz

Covering #digitallibraries &amp; archives, #DH, museums &amp; cultural heritage, #datacuration, #OpenScience, #digitalpublishing &amp; more",2021-02-13 11:00 +0000,1024.0,10.0,0.009765625,4.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
109,1359510432613076995,https://twitter.com/up_johd/status/1359510432613076995,"#johdsuggestions for #digitalhumanities: a seminar about Fr Busa, one of the key figures for this field
@UCLDH @ERC_LiLa @EdCDCS https://t.co/tkUp0q596h",2021-02-10 14:32 +0000,857.0,9.0,0.010501750291715286,5.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
111,1359436167515619336,https://twitter.com/up_johd/status/1359436167515619336,"#johdsuggestions
Very nice initiative by @mellymeldubs! A collaborative spreadsheet about #digitalhumanities events. Date, time, topic, zoom registration link are all here https://t.co/EKd4Jk1C84
#dh #datasharing https://t.co/71ACGTalgh",2021-02-10 09:36 +0000,223.0,4.0,0.017937219730941704,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112,1358778611071815685,https://twitter.com/up_johd/status/1358778611071815685,"#johdsuggestions

For anyone struggling with #datacitation in Linguistics, the #LinguisticsData Interest Group from @resdatall established the ""Tromsø recommendations for citation of #researchdata in linguistics"" https://t.co/c8XjMrclsC
#lingdata #OpenData",2021-02-08 14:04 +0000,922.0,7.0,0.007592190889370932,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113,1358772174534959110,https://twitter.com/up_johd/status/1358772174534959110,"Interesting workshop about #humanitiesdata by @paigecmorgan and @MLeonStewart.
Don't forget to keep an eye on the events of the Love Data Week using #lovedata21 #LoveDataWeek 
#johdsuggestions #OpenData https://t.co/oRDhTF7zZF",2021-02-08 13:38 +0000,1301.0,18.0,0.013835511145272867,2.0,0.0,5.0,0.0,0.0,0.0,11.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
115,1357328060928851969,https://twitter.com/up_johd/status/1357328060928851969,"#johdsuggestions for your afternoon:
Watch @BarbaraMcGilli's interview for @posifest, by @ShalhavitSimcha. Talking about how important the #OpenData movement is and how #JOHD contributes to that for the #humanities field
https://t.co/lIlXypQxJ2",2021-02-04 14:00 +0000,774.0,19.0,0.02454780361757106,2.0,0.0,4.0,2.0,4.0,0.0,7.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
116,1357316230223437825,https://twitter.com/up_johd/status/1357316230223437825,"An interesting contribution by @LIBEReurope to raise awareness about the importance of #OpenData, #RDM and #FAIR principles ➡️ https://t.co/VSDFhPxhhm
#johdsuggestions https://t.co/Mjq4QFH66t",2021-02-04 13:13 +0000,1364.0,11.0,0.008064516129032258,3.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
174,1420307862421651468,https://twitter.com/up_johd/status/1420307862421651468,"#johdsuggestions
The videos from the Open Scholarship Week 2021 that took place in May are available at the following link 
https://t.co/VX6i693VEG
@nuiglibrary #OSW2021",2021-07-28 08:59 +0000,204.0,6.0,0.029411764705882353,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
220,1532346293049229312,https://twitter.com/up_johd/status/1532346293049229312,"#johdsuggestions
New video on our YouTube channel! 
If you're planning to submit a #datapaper to #JOHD, this week our copyeditor and associate editor Marton Ribary shares his experience publishing a #datapaper with #JOHD 👉 https://t.co/yYv3u6KXct

Edited by @Glory417440494 👏",2022-06-02 13:00 +0000,427.0,20.0,0.0468384074941452,4.0,0.0,5.0,1.0,2.0,2.0,6.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231,1372207681944096774,https://twitter.com/up_johd/status/1372207681944096774,"#johdsuggestions
Have a look at this interesting tool to keep up with all the events around the #OpenResearch world! @OpenResearchCal can be synced into one's own personal calendar. More info at https://t.co/lOYGrSpyrF https://t.co/uK8xeQf9em",2021-03-17 15:26 +0000,207.0,1.0,0.004830917874396135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
