,Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted likes,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted media views,promoted media engagements
30,1512014824426799107,https://twitter.com/up_johd/status/1512014824426799107,"Another #showmeyourdata appointment with the #datapaper ""Corpus of the Epigraphy of the Italian Peninsula in the 1st Millennium BCE (CEIPoM)""➡️ https://t.co/HOXMX1m2Hh
Poke the author @PittsReuben to please RT, sharing and describing an image of your data 🔎✨",2022-04-07 10:30 +0000,372.0,15.0,0.04032258064516129,1.0,0.0,2.0,1.0,1.0,0.0,10.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,1510927660783833092,https://twitter.com/up_johd/status/1510927660783833092,"It's #showmeyourdata time! ✨ Today we present the #researchpaper ""Development and Validation of a Corpus of Written Parliamentary Questions in the Hellenic Parliament"", by @fotisfitsilis and @gmikros.
 DOI: https://t.co/sS2TAIMvB0 1/2",2022-04-04 10:30 +0000,1217.0,22.0,0.018077239112571898,3.0,1.0,3.0,7.0,2.0,0.0,6.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,1432707496569806848,https://twitter.com/up_johd/status/1432707496569806848,"On today's #showmeyourdata, a recently published #datapaper: 
""The Index of #DigitalHumanities Conferences"" ➡️ DOI: https://t.co/xDUCuWR03I.
The authors are @matthewdlincoln @scott_bot @NickoalEichmann: please RT, share and describe an image of your data!🔎",2021-08-31 14:11 +0000,3256.0,43.0,0.013206388206388206,3.0,0.0,5.0,5.0,9.0,2.0,19.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,1431273449989812224,https://twitter.com/up_johd/status/1431273449989812224,@miriamkp Thank you @miriamkp for participating in our #showmeyourdata campaign and for sharing this beautiful thread! And congratulations on an amazing project 📽️,2021-08-27 15:12 +0000,2536.0,39.0,0.015378548895899053,1.0,0.0,2.0,9.0,0.0,1.0,26.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,1430887000953954308,https://twitter.com/up_johd/status/1430887000953954308,"The last #showmeyourdata of the week is the #datapaper ""Early African-American Film Database, 1909–1930"", by @marika_louise Hanna Girma, Shanya Norman and @miriamkp. 
Authors, please RT, sharing and describing an image of your dataset 🔎 
DOI: https://t.co/Z17UfK5BAw",2021-08-26 13:37 +0000,13101.0,63.0,0.004808793221891459,2.0,0.0,3.0,11.0,14.0,2.0,31.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,1430463598074138627,https://twitter.com/up_johd/status/1430463598074138627,"We recently launched the new #Twitter campaign #showmeyourdata! Some of our authors already participated, others are on the waiting list. BUT anybody can participate! Share an image of your data, use #showmeyourdata and tag @up_johd. We’ll be happy to RT! 🔎
9/10",2021-08-25 09:34 +0000,252.0,2.0,0.007936507936507936,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,1430152920536780808,https://twitter.com/up_johd/status/1430152920536780808,"This week's #showmeyourdata hosts the #datapaper ""MuSe: The Musical Sentiment Dataset"", DOI: https://t.co/0Pdg4syodc
The authors are @christopher and @8urghardt: if you'd like to participate to our initiative, please RT, sharing an image of your data and describing your work 🔎",2021-08-24 13:00 +0000,705.0,29.0,0.04113475177304964,3.0,0.0,4.0,3.0,2.0,0.0,17.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,1428345252516147204,https://twitter.com/up_johd/status/1428345252516147204,"Second #showmeyourdata of the week 📢 ""Annotated References in the Historiography on Venice: 19th–21st centuries"", a #datapaper written by @giovanni1085 and
@mr56k.
Dear authors, please RT by sharing and describing an image of your data 🔎
DOI: https://t.co/PnLpTmNb3r",2021-08-19 13:17 +0000,1912.0,39.0,0.020397489539748955,3.0,0.0,7.0,7.0,7.0,0.0,15.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,1427286464245678080,https://twitter.com/up_johd/status/1427286464245678080,"The paper is authored by @_shengche and Nina Tahmasebi. If you'd like to participate, please retweet sharing and describing an image of your data! 🔎
#showmeyourdata #JOHD",2021-08-16 15:09 +0000,575.0,5.0,0.008695652173913044,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,1427286460726747138,https://twitter.com/up_johd/status/1427286460726747138,"The #showmeyourdata is back after a small break with the #datapaper ""A Collection of Swedish Diachronic Word Embedding Models Trained on Historical Newspaper Data"" 📰 DOI: https://t.co/8vkmmBLtM4",2021-08-16 15:09 +0000,228.0,9.0,0.039473684210526314,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,1476565048080412673,https://twitter.com/up_johd/status/1476565048080412673,"The #showmeyourdata campaign will come back in 2022, with new #papers and new contents! In the meantime, happy New Year from the #JOHD team 🥳
5/5 https://t.co/KLpdCqtALc",2021-12-30 14:45 +0000,214.0,8.0,0.037383177570093455,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0,0,0,0,0,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,1476565033652043780,https://twitter.com/up_johd/status/1476565033652043780,"We showed data from many different domains in the #humanities and on various topics: #COVID-19, cinema, #linguistics, #manuscripts, #dh, #socialmedia, #literature, #gaming language, #stylometry, music, bibliographic #data and more.
👉 Use #showmeyourdata to retrieve them all! 2/5",2021-12-30 14:45 +0000,139.0,3.0,0.02158273381294964,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,1476565031236120582,https://twitter.com/up_johd/status/1476565031236120582,"#johdnews
2021 is coming to an end, and so is the first edition of our new #showmeyourdata campaign ✨ With this initiative, we wanted to spread #datasharing and #openresearch values by encouraging our authors to post an image of their #data 1/5",2021-12-30 14:45 +0000,1608.0,56.0,0.03482587064676617,4.0,1.0,14.0,8.0,0.0,8.0,21.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125,1489624294363697155,https://twitter.com/up_johd/status/1489624294363697155,"Our first Twitter campaign #showmeyourdata has been a success, we appreciated our authors' enthusiasm. The 2022 edition is about to start ✨ 
Make sure you hit that ""Follow"" button on Twitter to stay up to date on our news and activities 🗓️📺 That's all, see you soon!",2022-02-04 15:38 +0000,261.0,5.0,0.019157088122605363,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171,1420739385767702530,https://twitter.com/up_johd/status/1420739385767702530,"Last #showmeyourdata for this week 📢 We host the #datapaper ""Scissors and Paste: The Georgian Reprints, 1800–1837"" 
DOI: https://t.co/rxJLYBLdkb
Poke the author @mhbeals to RT, sharing and describing an image of your data! 📰",2021-07-29 13:34 +0000,1036.0,10.0,0.009652509652509652,2.0,0.0,1.0,4.0,2.0,0.0,1.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
175,1420052806720016395,https://twitter.com/up_johd/status/1420052806720016395,"Today's #showmeyourdata is with @sarabmohr, who published with #JOHD the #datapaper ""A Bibliography of Cuneiform Tablet Editions in United States Colleges and Universities through 2020"" DOI: https://t.co/LZ0Du8kj2F
Please RT sharing and describing an image of your data 🔎",2021-07-27 16:05 +0000,2103.0,17.0,0.008083689966714217,1.0,0.0,3.0,1.0,8.0,0.0,4.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
179,1418194869617520643,https://twitter.com/up_johd/status/1418194869617520643,"Another #datapaper for our #showmeyourdata appointment: ""Writing About Shakespeare: 1960–2010"" DOI: https://t.co/r9V6s5tCbN
Poke the authors @Laura_Estill and @klyved1: if you'd like to participate in our initiative, please RT sharing and describing an image of your data 📸
#JOHD",2021-07-22 13:03 +0000,2069.0,12.0,0.005799903334944417,2.0,0.0,1.0,1.0,2.0,1.0,5.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
