,doi,html,publication_date,downloads,views,days_since_publication
0,https://doi.org/10.5281/zenodo.3464194,https://zenodo.org/record/3464194,2019-09-29,1463.0,692.0,979
1,https://doi.org/10.5061/dryad.9s4mw6mb6,https://zenodo.org/record/5021602,2019-09-29,1.0,13.0,979
2,https://doi.org/10.5281/zenodo.3431395,https://zenodo.org/record/3431395,2019-09-30,118.0,306.0,978
3,https://doi.org/10.5281/zenodo.3464747,https://zenodo.org/record/3464747,2019-09-30,53068.0,1227.0,978
4,https://doi.org/10.5281/zenodo.3465953,https://zenodo.org/record/3465953,2019-09-30,635.0,275.0,978
5,https://doi.org/10.5281/zenodo.3484673,https://zenodo.org/record/3484673,2019-09-30,22.0,92.0,978
6,https://doi.org/10.5281/zenodo.3555358,https://zenodo.org/record/3555358,2019-09-30,18.0,53.0,978
7,https://doi.org/10.5281/zenodo.3555361,https://zenodo.org/record/3555361,2019-09-30,32.0,60.0,978
8,https://doi.org/10.5281/zenodo.3635095,https://zenodo.org/record/3635095,2019-09-30,13.0,50.0,978
9,https://doi.org/10.5281/zenodo.3231390,https://zenodo.org/record/3231390,2019-09-30,293.0,157.0,978
10,https://doi.org/10.5061/dryad.41ns1rn96,https://zenodo.org/record/4944043,2019-09-30,5.0,10.0,978
11,https://doi.org/10.5061/dryad.jh9w0vt6d,https://zenodo.org/record/4950506,2019-09-30,0.0,1.0,978
12,https://doi.org/10.5061/dryad.3xsj3tx9s,https://zenodo.org/record/4953295,2019-09-30,1.0,5.0,978
13,https://doi.org/10.5061/dryad.pnvx0k6h3,https://zenodo.org/record/4963178,2019-09-30,6.0,7.0,978
14,https://doi.org/10.5061/dryad.1320p,https://zenodo.org/record/4969100,2019-09-30,3.0,3.0,978
15,https://doi.org/10.5061/dryad.751d161,https://zenodo.org/record/4970493,2019-09-30,0.0,5.0,978
16,https://doi.org/10.5061/dryad.9kd51c5c7,https://zenodo.org/record/4997134,2019-09-30,6.0,16.0,978
17,https://doi.org/10.5061/dryad.vv87vm1,https://zenodo.org/record/5016006,2019-09-30,4.0,6.0,978
18,https://doi.org/10.5281/zenodo.3466137,https://zenodo.org/record/3466137,2019-10-01,5.0,53.0,977
19,https://doi.org/10.5281/zenodo.3467028,https://zenodo.org/record/3467028,2019-10-01,230.0,367.0,977
20,https://doi.org/10.5281/zenodo.3467389,https://zenodo.org/record/3467389,2019-10-01,853.0,21.0,977
21,https://doi.org/10.5281/zenodo.3467629,https://zenodo.org/record/3467629,2019-10-01,27.0,15.0,977
22,https://doi.org/10.5281/zenodo.3468232,https://zenodo.org/record/3468232,2019-10-01,128.0,607.0,977
23,https://doi.org/10.5281/zenodo.3468471,https://zenodo.org/record/3468471,2019-10-01,77.0,346.0,977
24,https://doi.org/10.5281/zenodo.3468544,https://zenodo.org/record/3468544,2019-10-01,46.0,35.0,977
25,https://doi.org/10.5281/zenodo.3405371,https://zenodo.org/record/3405371,2019-10-01,31.0,62.0,977
26,https://doi.org/10.5281/zenodo.3518510,https://zenodo.org/record/3518510,2019-10-01,10.0,30.0,977
27,https://doi.org/10.5281/zenodo.3518960,https://zenodo.org/record/3518960,2019-10-01,256.0,902.0,977
28,https://doi.org/10.5281/zenodo.3522141,https://zenodo.org/record/3522141,2019-10-01,4.0,18.0,977
29,https://doi.org/10.5281/zenodo.3526157,https://zenodo.org/record/3526157,2019-10-01,9.0,22.0,977
30,https://doi.org/10.5281/zenodo.3540701,https://zenodo.org/record/3540701,2019-10-01,108.0,244.0,977
31,https://doi.org/10.5281/zenodo.3458559,https://zenodo.org/record/3458559,2019-10-01,250.0,236.0,977
32,https://doi.org/10.5281/zenodo.3467102,https://zenodo.org/record/3467102,2019-10-01,32.0,64.0,977
33,https://doi.org/10.5281/zenodo.3687775,https://zenodo.org/record/3687775,2019-10-01,35.0,148.0,977
34,https://doi.org/10.5281/zenodo.3941636,https://zenodo.org/record/3941636,2019-10-01,16.0,170.0,977
35,https://doi.org/10.5061/dryad.824f24t,https://zenodo.org/record/4934825,2019-10-01,0.0,3.0,977
36,https://doi.org/10.5061/dryad.mgqnk98vt,https://zenodo.org/record/4946966,2019-10-01,0.0,5.0,977
37,https://doi.org/10.5061/dryad.q1857f6,https://zenodo.org/record/4958964,2019-10-01,0.0,3.0,977
38,https://doi.org/10.5061/dryad.fttdz08nd,https://zenodo.org/record/4959511,2019-10-01,2.0,10.0,977
39,https://doi.org/10.5061/dryad.x69p8czd9,https://zenodo.org/record/4963548,2019-10-01,2.0,3.0,977
40,https://doi.org/10.5061/dryad.bc4b0kk,https://zenodo.org/record/5026769,2019-10-01,0.0,3.0,977
41,https://doi.org/10.5061/dryad.bzkh1894d,https://zenodo.org/record/5059864,2019-10-01,0.0,4.0,977
42,https://doi.org/10.1016/j.cad.2019.05.020,https://zenodo.org/record/5635661,2019-10-01,8.0,56.0,977
43,https://doi.org/10.5281/zenodo.3468675,https://zenodo.org/record/3468675,2019-10-02,9.0,24.0,976
44,https://doi.org/10.5281/zenodo.3468724,https://zenodo.org/record/3468724,2019-10-02,20.0,35.0,976
